,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(55.665,12.346) → (55.739,12.478)",11.682136493964,287.57203967958964,"(55.665,12.346)","(55.739,12.478)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.348) → (55.643,12.29)",4.3737018852404,934.6091289586664,"(55.665,12.348)","(55.643,12.29)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.351) → (55.64,12.415)",4.843549457749,133.74254166978847,"(55.665,12.351)","(55.64,12.415)",Albertslund,Brøndby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.353) → (55.644,12.288)",4.658603588239401,934.9631674251145,"(55.665,12.353)","(55.644,12.288)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.353) → (55.584,12.285)",9.979535145107599,195.28117020768758,"(55.665,12.353)","(55.584,12.285)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.354) → (55.646,12.284)",4.8890933168734,935.2940257315563,"(55.665,12.354)","(55.646,12.284)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.355) → (55.591,12.289)",9.2531053655565,195.212089901947,"(55.665,12.355)","(55.591,12.289)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.357) → (55.64,12.08)",17.607462017521,298.0607334748916,"(55.665,12.357)","(55.64,12.08)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.665,12.36) → (55.616,12.357)",5.518271542621401,254.2776802161564,"(55.665,12.36)","(55.616,12.357)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.64,12.371)",2.8294557153096003,239.1933918325063,"(55.665,12.36)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.585,12.283)",10.184038258454,195.1381697825787,"(55.665,12.36)","(55.585,12.283)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.36) → (55.627,12.073)",18.492156722129998,297.9415242936782,"(55.665,12.36)","(55.627,12.073)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.665,12.361) → (55.725,12.384)",6.823132110606901,421.2471413673593,"(55.665,12.361)","(55.725,12.384)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.635,12.458)",6.9630109418538,346.7583175889848,"(55.665,12.361)","(55.635,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.64,12.371)",2.8183403816667996,238.9624845962493,"(55.665,12.361)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.585,12.28)",10.241895968089999,195.4698685943062,"(55.665,12.361)","(55.585,12.28)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.362) → (55.583,12.283)",10.418076010871001,195.2030676406857,"(55.665,12.362)","(55.583,12.283)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.363) → (55.616,12.355)",5.537169318602801,254.62522356363573,"(55.665,12.363)","(55.616,12.355)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.364) → (55.681,12.546)",11.500524029770999,3024.6390193013694,"(55.665,12.364)","(55.681,12.546)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.364) → (55.742,12.48)",11.253226488401001,287.66767862837895,"(55.665,12.364)","(55.742,12.48)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.364) → (55.616,12.36)",5.5226300149395,254.28943289858887,"(55.665,12.364)","(55.616,12.36)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.366) → (55.669,12.415)",3.0960921803314,928.4818758229545,"(55.665,12.366)","(55.669,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.366) → (55.616,12.358)",5.5393334694736,254.3794190863299,"(55.665,12.366)","(55.616,12.358)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.739,12.482)",10.833336786458002,287.7827771481712,"(55.665,12.371)","(55.739,12.482)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.64,12.371)",2.7569967367947994,477.6654493508012,"(55.665,12.371)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.64,12.099)",17.264794281919,297.8424696681464,"(55.665,12.371)","(55.64,12.099)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.666,12.355) → (55.666,12.354)",0.0098305304915,29022.131542344097,"(55.666,12.355)","(55.666,12.354)",Albertslund,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.666,12.36) → (55.683,12.53)",10.840173935292,3019.5064166356915,"(55.666,12.36)","(55.683,12.53)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.666,12.363) → (55.683,12.536)",11.027681193729,3020.510625597979,"(55.666,12.363)","(55.683,12.536)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.667,12.353) → (55.643,12.29)",4.7727498229646,934.9199555422316,"(55.667,12.353)","(55.643,12.29)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.667,12.356)",0.011260222305039851,57956.74118789722,"(55.667,12.356)","(55.667,12.356)",Albertslund,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.667,12.357)",0.009464252144509,57976.63341948743,"(55.667,12.357)","(55.667,12.357)",Albertslund,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.667,12.36) → (55.684,12.533)",11.018632750346999,3020.650233219601,"(55.667,12.36)","(55.684,12.533)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.667,12.363) → (55.668,12.415)",3.2292803875696006,926.9063064672489,"(55.667,12.363)","(55.668,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.667,12.363) → (55.673,12.458)",5.9995979012418,562.7181088879419,"(55.667,12.363)","(55.673,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
