,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(55.665,12.356) → (55.648,12.286)",4.7945095394043,1859.8394231718923,"(55.665,12.356)","(55.648,12.286)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.358) → (55.627,12.617)",16.7955993124,360.70535516411235,"(55.665,12.358)","(55.627,12.617)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.744,12.478)",11.4579177078,507.66190883587876,"(55.665,12.359)","(55.744,12.478)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.363) → (55.747,12.264)",10.976890289396,445.74935931870084,"(55.665,12.363)","(55.747,12.264)",Albertslund,Egedal,Region Hovedstaden,Region Hovedstaden
"(55.665,12.363) → (55.752,12.234)",12.590967870198,446.36146156125415,"(55.665,12.363)","(55.752,12.234)",Albertslund,Egedal,Region Hovedstaden,Region Hovedstaden
"(55.665,12.363) → (55.444,12.12)",28.918694351982,279.4410171356877,"(55.665,12.363)","(55.444,12.12)",Albertslund,Køge,Region Hovedstaden,Region Sjælland
"(55.665,12.365) → (55.75,12.257)",11.564891109603,446.0801557945839,"(55.665,12.365)","(55.75,12.257)",Albertslund,Egedal,Region Hovedstaden,Region Hovedstaden
"(55.665,12.365) → (55.746,12.48)",11.570524433619001,506.92658960804437,"(55.665,12.365)","(55.746,12.48)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.365) → (55.633,12.458)",6.8877773301957,584.5188248342824,"(55.665,12.365)","(55.633,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.365) → (55.616,12.362)",5.51880309359,848.6671304276559,"(55.665,12.365)","(55.616,12.362)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.365) → (55.64,12.371)",2.7803505383719997,366.3342435780128,"(55.665,12.365)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.366) → (55.747,12.271)",10.831572659517,446.12713200728734,"(55.665,12.366)","(55.747,12.271)",Albertslund,Egedal,Region Hovedstaden,Region Hovedstaden
"(55.665,12.366) → (55.747,12.476)",11.421190103254002,507.9285597076341,"(55.665,12.366)","(55.747,12.476)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.367) → (55.616,12.362)",5.525388286766,1697.3158010609523,"(55.665,12.367)","(55.616,12.362)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.722,12.387)",6.451881592836701,570.9324721343125,"(55.665,12.371)","(55.722,12.387)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.745,12.286)",10.351051255411,445.88309851308327,"(55.665,12.371)","(55.745,12.286)",Albertslund,Egedal,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.814,12.384)",16.525962668666,225.74602653672628,"(55.665,12.371)","(55.814,12.384)",Albertslund,Furesø,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.814,12.387)",16.537549433692,225.6037569535827,"(55.665,12.371)","(55.814,12.387)",Albertslund,Furesø,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.749,12.472)",11.301193662465,506.52241363471103,"(55.665,12.371)","(55.749,12.472)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.739,12.415)",8.7073515249417,130.74763187082632,"(55.665,12.371)","(55.739,12.415)",Albertslund,Herlev,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.629,12.458)",6.845294924339401,584.0853673831252,"(55.665,12.371)","(55.629,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.775,12.502)",14.721777254204,161.51178054631487,"(55.665,12.371)","(55.775,12.502)",Albertslund,Lyngby-Tårbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.625,12.607)",15.502091089071,361.2106877237748,"(55.665,12.371)","(55.625,12.607)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.626,12.616)",15.988343456479,361.47874693699043,"(55.665,12.371)","(55.626,12.616)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.64,12.371)",2.7569967367947994,365.8217431806246,"(55.665,12.371)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.591,12.291)",9.6727495952755,733.2894238740471,"(55.665,12.371)","(55.591,12.291)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.453,12.161)",27.028728853056997,279.3175732064717,"(55.665,12.371)","(55.453,12.161)",Albertslund,Køge,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.459,12.171)",26.160171779389,279.47044476318575,"(55.665,12.371)","(55.459,12.171)",Albertslund,Køge,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.46,12.151)",26.712156377512997,279.0656478145295,"(55.665,12.371)","(55.46,12.151)",Albertslund,Køge,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.462,12.163)",26.111495505439,279.2337940559678,"(55.665,12.371)","(55.462,12.163)",Albertslund,Køge,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.468,12.171)",25.24719452604,278.8431468999167,"(55.665,12.371)","(55.468,12.171)",Albertslund,Køge,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.623,12.087)",18.419671580123,653.4493685105531,"(55.665,12.371)","(55.623,12.087)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.623,12.093)",18.009597076991,652.8600017679358,"(55.665,12.371)","(55.623,12.093)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.626,12.101)",17.430802407931,654.1504178052863,"(55.665,12.371)","(55.626,12.101)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.635,12.092)",17.821302167444,653.7381593541317,"(55.665,12.371)","(55.635,12.092)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.661,12.083)",18.074786212604998,653.2533714153375,"(55.665,12.371)","(55.661,12.083)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.666,12.353) → (55.646,12.277)",5.27703688816,1857.2889971612535,"(55.666,12.353)","(55.646,12.277)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
