,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(49.478,8.559) → (49.592,8.589)",12.919199618327,975.2334087125048,"(49.478,8.559)","(49.592,8.589)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.491,8.552) → (49.595,8.574)",11.669022074553,975.3153034932576,"(49.491,8.552)","(49.595,8.574)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.494,8.564) → (49.593,8.58)",11.097364774071,975.5264813743242,"(49.494,8.564)","(49.593,8.58)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.495,8.576) → (49.57,8.597)",8.477777732721501,975.7279104128836,"(49.495,8.576)","(49.57,8.597)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.497,8.561) → (49.608,8.583)",12.397579586067,975.5024550875216,"(49.497,8.561)","(49.608,8.583)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.499,8.552) → (49.602,8.579)",11.616932699849,975.7016098318138,"(49.499,8.552)","(49.602,8.579)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.5,8.569) → (49.591,8.584)",10.093946029659,975.3009597500991,"(49.5,8.569)","(49.591,8.584)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.588,8.626) → (49.48,8.587)",12.298927263173999,1446.8342102347372,"(49.588,8.626)","(49.48,8.587)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.59,8.621) → (49.475,8.581)",13.112443000567,1446.9557074777297,"(49.59,8.621)","(49.475,8.581)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.591,8.622) → (49.469,8.585)",13.847664790704998,1446.934427425058,"(49.591,8.622)","(49.469,8.585)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(48.655,8.942)",0.039743201223173,1329730.5523847125,"(48.655,8.942)","(48.655,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.655,8.943) → (48.655,8.942)",0.036424196792083,665014.1247089354,"(48.655,8.943)","(48.655,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.656,8.941)",0.049166494359213005,665133.5093695188,"(48.656,8.941)","(48.656,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.656,8.942) → (48.655,8.942)",0.03744727558482,664814.3377596346,"(48.656,8.942)","(48.655,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
