,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(48.919,8.738) → (51.18,7.129)",276.40552978113,18.53822791759973,"(48.919,8.738)","(51.18,7.129)",Karlsruhe Region,Düsseldorf District,Baden-Württemberg,North Rhine-Westphalia
"(49.383,8.503) → (49.402,8.357)",10.779699560606,5106.119574038542,"(49.383,8.503)","(49.402,8.357)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.388,8.499) → (49.402,8.357)",10.403438870857,5105.8778211617355,"(49.388,8.499)","(49.402,8.357)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.389,8.498) → (49.4,8.356)",10.344562135463,5106.914388447117,"(49.389,8.498)","(49.4,8.356)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.41,9.316) → (51.322,6.79)",278.03314790364,18.536506934321437,"(49.41,9.316)","(51.322,6.79)",Karlsruhe Region,Düsseldorf District,Baden-Württemberg,North Rhine-Westphalia
"(49.46,8.572) → (49.629,8.622)",19.037706881725,3107.470454687655,"(49.46,8.572)","(49.629,8.622)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.466,8.574) → (49.602,8.621)",15.513139464928999,3108.0527336847176,"(49.466,8.574)","(49.602,8.621)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.466,8.578) → (49.601,8.613)",15.249562517609,3107.569012026698,"(49.466,8.578)","(49.601,8.613)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Hesse
"(49.468,8.572) → (49.614,8.622)",16.566211670069002,3107.272871760578,"(49.468,8.572)","(49.614,8.622)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.472,8.579) → (49.604,8.627)",15.083872403538,3107.181974865631,"(49.472,8.579)","(49.604,8.627)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.474,8.573) → (49.602,8.618)",14.573876650364001,3107.975105241411,"(49.474,8.573)","(49.602,8.618)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.479,8.572) → (49.598,8.617)",13.663827624137001,3107.421881953139,"(49.479,8.572)","(49.598,8.617)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(48.656,8.94) → (48.657,8.941)",0.06555144558315451,1223112.926869868,"(48.656,8.94)","(48.657,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.656,8.941) → (48.657,8.942)",0.056588258742248994,1223066.0819351831,"(48.656,8.941)","(48.657,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.94) → (48.658,8.941)",0.06953022461701899,611680.8033169792,"(48.657,8.94)","(48.658,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.941) → (48.658,8.942)",0.05590756270627901,611566.2078080878,"(48.657,8.941)","(48.658,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.658,8.94) → (48.658,8.941)",0.07092243096849499,611665.5256390789,"(48.658,8.94)","(48.658,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.398,9.955) → (48.377,10.038)",6.5062505429801,3125.932231673316,"(48.398,9.955)","(48.377,10.038)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.405,9.913) → (48.368,10.092)",13.884590680097,3125.4457273403705,"(48.405,9.913)","(48.368,10.092)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
