,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.787) → (56.067,14.678)",18.202385036703,289.7683148029661,"(56.219,14.787)","(56.067,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.788) → (56.071,14.678)",17.826829967489,290.0827655651656,"(56.219,14.788)","(56.071,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.799) → (56.07,14.678)",18.220098859916998,290.0575706387012,"(56.219,14.799)","(56.07,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.8) → (56.317,14.55)",18.88892029828,232.89789787901947,"(56.219,14.8)","(56.317,14.55)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.807) → (56.186,14.502)",19.191774597374998,128.77505947986322,"(56.219,14.807)","(56.186,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.82) → (56.317,14.53)",20.929210395379,233.18052396285535,"(56.219,14.82)","(56.317,14.53)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.827) → (56.317,14.554)",20.072112538721,233.03710665532503,"(56.219,14.827)","(56.317,14.554)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.829) → (56.069,14.678)",19.099858227569,290.1199542328549,"(56.219,14.829)","(56.069,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.833) → (56.317,14.528)",21.738785444789,233.13038387783462,"(56.219,14.833)","(56.317,14.528)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.835) → (56.317,14.534)",21.575868212496,233.15063400564708,"(56.219,14.835)","(56.317,14.534)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.836) → (56.062,14.678)",19.994633447920002,289.9415164199974,"(56.219,14.836)","(56.062,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.193,15.604)",46.476389070612,157.26128360285594,"(56.219,14.854)","(56.193,15.604)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.194,15.612)",46.961856146237004,157.0706753137573,"(56.219,14.854)","(56.194,15.612)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.17,14.502)",22.420078892139998,128.79156846785617,"(56.219,14.854)","(56.17,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.854) → (56.173,14.502)",22.333923722442,128.7123554200923,"(56.219,14.854)","(56.173,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.854) → (56.18,14.502)",22.178412964205,128.76387481624587,"(56.219,14.854)","(56.18,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.854) → (56.183,14.502)",22.103165647407998,128.635466851784,"(56.219,14.854)","(56.183,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.889) → (56.219,15.639)",46.369928694617,157.1645603024285,"(56.219,14.889)","(56.219,15.639)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.901) → (56.219,15.243)",21.148529821209,326.7238736921404,"(56.219,14.901)","(56.219,15.243)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.904) → (56.219,15.242)",20.877989962313002,326.32786853978894,"(56.219,14.904)","(56.219,15.242)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.914) → (56.219,15.22)",18.941365672552,326.68199299628463,"(56.219,14.914)","(56.219,15.22)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.919) → (56.219,15.255)",20.804447286819002,326.6536192706869,"(56.219,14.919)","(56.219,15.255)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.221,14.838) → (56.222,14.835)",0.17301775309435,13800.619795415658,"(56.221,14.838)","(56.222,14.835)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.222,14.835)",0.11584271788883001,13785.659873873821,"(56.222,14.837)","(56.222,14.835)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.222,14.836)",0.08520227982482599,13799.42115267578,"(56.222,14.837)","(56.222,14.836)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.838) → (56.222,14.835)",0.18476340331611,13793.89990033642,"(56.222,14.838)","(56.222,14.835)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.841) → (56.222,14.838)",0.15723204198750002,13802.389037592038,"(56.222,14.841)","(56.222,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
