,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.771) → (56.097,14.678)",14.772192201788002,205.4209536188108,"(56.219,14.771)","(56.097,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.781) → (56.317,14.502)",20.352762392258,295.9692914330865,"(56.219,14.781)","(56.317,14.502)",Karlshamns kommun,Olofströms Kommun,Blekinge,Skåne
"(56.219,14.805) → (56.105,14.678)",14.936047255783999,205.52899753009257,"(56.219,14.805)","(56.105,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.805) → (56.317,14.502)",21.615969003262,296.20355526395696,"(56.219,14.805)","(56.317,14.502)",Karlshamns kommun,Olofströms Kommun,Blekinge,Skåne
"(56.219,14.81) → (56.317,14.502)",21.877229702676,296.1648233842577,"(56.219,14.81)","(56.317,14.502)",Karlshamns kommun,Olofströms Kommun,Blekinge,Skåne
"(56.219,14.818) → (56.088,14.678)",16.930270773627,205.3664471168355,"(56.219,14.818)","(56.088,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.82) → (56.11,14.678)",14.988946848937,205.50212234826043,"(56.219,14.82)","(56.11,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.872) → (56.18,15.557)",42.543961663896,118.86887469164084,"(56.219,14.872)","(56.18,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.876) → (56.185,15.557)",42.242864490757,118.79039588130682,"(56.219,14.876)","(56.185,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.88) → (56.19,15.557)",42.001547377151,118.82192415205724,"(56.219,14.88)","(56.19,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.885) → (56.219,15.232)",21.406655277113,199.4840270145016,"(56.219,14.885)","(56.219,15.232)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.895) → (56.18,15.557)",41.187540054939,118.88442013995551,"(56.219,14.895)","(56.18,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.902) → (56.219,15.205)",18.737925669766,199.37916086531638,"(56.219,14.902)","(56.219,15.205)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.222,14.836)",0.08428546783133199,16032.904036856402,"(56.222,14.837)","(56.222,14.836)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.222,14.838)",0.07563798187817901,16039.239176612758,"(56.222,14.837)","(56.222,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
