,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.73) → (56.18,15.557)",51.290424862365,116.48635062136604,"(56.219,14.73)","(56.18,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.792) → (56.104,14.678)",14.618329903583,250.40039556563067,"(56.219,14.792)","(56.104,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.8) → (56.061,14.678)",19.109087956091003,250.43507177981337,"(56.219,14.8)","(56.061,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.804) → (56.064,14.678)",18.929485284876,250.78826074952926,"(56.219,14.804)","(56.064,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.807) → (56.188,14.502)",19.193725748395,106.80456161377914,"(56.219,14.807)","(56.188,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.808) → (56.317,14.564)",18.560395440555002,206.76267697026475,"(56.219,14.808)","(56.317,14.564)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.811) → (56.317,14.55)",19.430971018693,206.643146659846,"(56.219,14.811)","(56.317,14.55)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.812) → (56.078,14.678)",17.766679900168,250.5799330169434,"(56.219,14.812)","(56.078,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.817) → (56.183,14.502)",19.865878339997,106.89335704078296,"(56.219,14.817)","(56.183,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.818) → (56.193,15.592)",47.92318485212,116.3223010999133,"(56.219,14.818)","(56.193,15.592)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.822) → (56.317,14.54)",20.545349302084,206.93457580972085,"(56.219,14.822)","(56.317,14.54)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.317,14.59)",19.567592985367998,206.61453404595753,"(56.219,14.854)","(56.317,14.59)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.186,14.502)",22.045689554111,106.74281747992045,"(56.219,14.854)","(56.186,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.887) → (56.2,15.557)",41.463668675445,116.3895863739901,"(56.219,14.887)","(56.2,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.906) → (56.15,15.662)",47.390116360684004,116.30619466163172,"(56.219,14.906)","(56.15,15.662)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.91) → (56.219,15.23)",19.795278196788,283.23979170538547,"(56.219,14.91)","(56.219,15.23)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.911) → (56.226,15.242)",20.48445317668,283.44287505195234,"(56.219,14.911)","(56.226,15.242)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.922) → (56.225,15.245)",19.971127789223,283.6785244543855,"(56.219,14.922)","(56.225,15.245)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.928) → (56.219,15.251)",20.019991986287,283.2790156197889,"(56.219,14.928)","(56.219,15.251)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.222,14.836)",0.029625680217556,14114.684865229481,"(56.222,14.837)","(56.222,14.836)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.223,14.836)",0.07780889709590699,14134.590827161994,"(56.222,14.837)","(56.223,14.836)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.839) → (56.223,14.837)",0.17981519627505999,14122.849339545106,"(56.222,14.839)","(56.223,14.837)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.841) → (56.223,14.842)",0.05343314090106201,14112.730491059643,"(56.222,14.841)","(56.223,14.842)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.174,15.557) → (56.369,16.003)",35.073740976741,157.3772308998827,"(56.174,15.557)","(56.369,16.003)",Karlskrona Kommun,Torsås Kommun,Blekinge,Kalmar
"(56.177,15.557) → (56.219,14.912)",40.142826002613,229.90760687982865,"(56.177,15.557)","(56.219,14.912)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
