,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(49.388,8.509) → (49.397,8.402)",7.7776814242620995,874.6234000626316,"(49.388,8.509)","(49.397,8.402)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.394,8.491) → (49.39,8.381)",8.0229111720422,874.6257133486472,"(49.394,8.491)","(49.39,8.381)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.47,8.571) → (49.57,8.601)",11.374506298987999,551.7473163259643,"(49.47,8.571)","(49.57,8.601)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.485,8.572) → (49.556,8.616)",8.4924815320114,551.7533287401486,"(49.485,8.572)","(49.556,8.616)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Hesse
"(49.489,8.564) → (49.584,8.58)",10.672708258484,551.7769394462721,"(49.489,8.564)","(49.584,8.58)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.49,8.578) → (49.567,8.595)",8.6260189599038,551.7375740597857,"(49.49,8.578)","(49.567,8.595)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.492,8.565) → (49.58,8.578)",9.8013391619158,551.747321894305,"(49.492,8.565)","(49.58,8.578)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.497,8.556) → (49.573,8.601)",9.071226944172,551.6189846154631,"(49.497,8.556)","(49.573,8.601)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.498,8.556) → (49.546,8.596)",6.077146057784599,551.7361147763519,"(49.498,8.556)","(49.546,8.596)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Baden-Württemberg
"(48.652,8.945)",0.0018353176927758,530562.458500103,"(48.652,8.945)","(48.652,8.945)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
