,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.736) → (56.088,14.678)",14.965041247558998,124.7189093433389,"(56.219,14.736)","(56.088,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.78) → (56.317,14.557)",17.486866122335,81.4105180337387,"(56.219,14.78)","(56.317,14.557)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.783) → (56.317,14.581)",16.541453827352,81.30677631170957,"(56.219,14.783)","(56.317,14.581)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.795) → (56.08,14.678)",17.049743764427,124.67039034462132,"(56.219,14.795)","(56.08,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.801) → (56.023,14.15)",45.826764945567,73.17609868053862,"(56.219,14.801)","(56.023,14.15)",Karlshamns kommun,Kristianstads kommun,Blekinge,Skåne
"(56.219,14.822) → (56.01,14.198)",45.109936108473995,73.20457722326414,"(56.219,14.822)","(56.01,14.198)",Karlshamns kommun,Kristianstads kommun,Blekinge,Skåne
"(56.219,14.83) → (56.081,14.678)",17.996658456501997,124.82946098506599,"(56.219,14.83)","(56.081,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.843) → (56.063,14.678)",20.107615946155,124.76983670574214,"(56.219,14.843)","(56.063,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.89) → (56.219,15.248)",22.110745302473997,109.85170405614254,"(56.219,14.89)","(56.219,15.248)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.946) → (56.219,15.233)",17.731996415488,109.76414802080791,"(56.219,14.946)","(56.219,15.233)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.957) → (56.219,15.236)",17.260938339844,109.90419934554724,"(56.219,14.957)","(56.219,15.236)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.965) → (56.219,15.205)",14.872000174709001,109.8068658348962,"(56.219,14.965)","(56.219,15.205)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.223,14.838) → (56.223,14.839)",0.068242278006229,13333.686011959171,"(56.223,14.838)","(56.223,14.839)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.838) → (56.223,14.84)",0.12379662496331,13327.317231601393,"(56.223,14.838)","(56.223,14.84)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.839) → (56.223,14.84)",0.049845339070552996,13316.694846919498,"(56.223,14.839)","(56.223,14.84)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.841) → (56.223,14.842)",0.057524495209624,13321.877414315124,"(56.223,14.841)","(56.223,14.842)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.173,15.572) → (56.219,15.277)",18.936370591461998,251.015763937361,"(56.173,15.572)","(56.219,15.277)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.174,15.585) → (56.219,15.272)",20.031514881637,250.89586728872064,"(56.174,15.585)","(56.219,15.272)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.181,15.674) → (56.704,16.26)",68.463800246893,74.56021754221348,"(56.181,15.674)","(56.704,16.26)",Karlskrona Kommun,Kalmar Kommun,Blekinge,Kalmar
"(56.189,15.611) → (56.704,16.26)",69.851567170385,74.5312116190671,"(56.189,15.611)","(56.704,16.26)",Karlskrona Kommun,Kalmar Kommun,Blekinge,Kalmar
"(56.19,15.613) → (56.219,15.228)",24.056645568746,250.69589362777114,"(56.19,15.613)","(56.219,15.228)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.2,15.576) → (56.219,15.259)",19.741615309143,250.79345900562714,"(56.2,15.576)","(56.219,15.259)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.202,15.616) → (56.202,15.617)",0.08134844367635001,28124.013926220337,"(56.202,15.616)","(56.202,15.617)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.203,15.615) → (56.204,15.616)",0.102725360106352,56306.345916032966,"(56.203,15.615)","(56.204,15.616)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.204,15.616)",0.0071042258670848,28134.959179474517,"(56.204,15.616)","(56.204,15.616)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.317,14.543) → (56.219,14.75)",16.759324104132,73.26946623036484,"(56.317,14.543)","(56.219,14.75)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.317,14.543) → (56.219,14.813)",19.916292439603,73.17609868053862,"(56.317,14.543)","(56.219,14.813)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.317,14.582) → (56.219,14.854)",19.97997565216,73.20457722326414,"(56.317,14.582)","(56.219,14.854)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.319,14.514) → (56.319,14.515)",0.082272516659929,5052.879485960715,"(56.319,14.514)","(56.319,14.515)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.32,14.513) → (56.32,14.512)",0.041213920015864,5050.465998828084,"(56.32,14.513)","(56.32,14.512)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.32,14.514)",0.043076170274743,5046.440583080106,"(56.32,14.514)","(56.32,14.514)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
