,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(55.665,12.351) → (55.645,12.277)",5.1305172185440995,841.2145920219849,"(55.665,12.351)","(55.645,12.277)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.352) → (55.64,12.371)",2.9867464665393,271.3910482791406,"(55.665,12.352)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.353) → (55.739,12.474)",11.205957714151001,281.63023237852434,"(55.665,12.353)","(55.739,12.474)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.591,12.327)",8.4539272691528,238.1072404713215,"(55.665,12.354)","(55.591,12.327)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.355) → (55.649,12.278)",5.2207011218047,842.7678015198388,"(55.665,12.355)","(55.649,12.278)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.356) → (55.64,12.371)",2.9061297313826002,271.5300515535043,"(55.665,12.356)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.646,12.297)",4.4330716900928,842.3363668286534,"(55.665,12.359)","(55.646,12.297)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.587,12.299)",9.4353548640877,238.22919617430097,"(55.665,12.359)","(55.587,12.299)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.36) → (55.724,12.382)",6.684050969801099,455.9655582690922,"(55.665,12.36)","(55.724,12.382)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.64,12.371)",2.8294557153096003,271.0296253931015,"(55.665,12.36)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.64,12.371)",2.8242504433908,271.3016640133454,"(55.665,12.361)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.362) → (55.684,12.527)",10.612033851881,2729.272240241168,"(55.665,12.362)","(55.684,12.527)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.362) → (55.746,12.482)",11.727076319036,281.7764685932592,"(55.665,12.362)","(55.746,12.482)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.362) → (55.769,12.502)",14.533291912276,156.17676522809077,"(55.665,12.362)","(55.769,12.502)",Albertslund,Lyngby-Tårbæk,Region Hovedstaden,Region Hovedstaden
