,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(55.665,12.35) → (55.64,12.371)",3.0470156414617997,304.98628606242227,"(55.665,12.35)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.352) → (55.739,12.48)",11.543901278073001,314.7376729043383,"(55.665,12.352)","(55.739,12.48)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.739,12.478)",11.322956569092,314.6174319380777,"(55.665,12.354)","(55.739,12.478)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.645,12.286)",4.8112979085607,956.3521037031575,"(55.665,12.354)","(55.645,12.286)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.635,12.624)",17.303413895102,218.38940568872454,"(55.665,12.354)","(55.635,12.624)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.356) → (55.591,12.297)",9.0568226141379,202.20807530235405,"(55.665,12.356)","(55.591,12.297)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.356) → (55.64,12.092)",16.770146741189002,365.9835432749067,"(55.665,12.356)","(55.64,12.092)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.665,12.357) → (55.633,12.458)",7.313606016254901,391.5775426490031,"(55.665,12.357)","(55.633,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.616,12.371)",5.5806329260052,320.9235247326032,"(55.665,12.357)","(55.616,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.596,12.303)",8.3596749540897,202.18182058154,"(55.665,12.357)","(55.596,12.303)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.358) → (55.719,12.396)",6.468248820992,590.5759659624308,"(55.665,12.358)","(55.719,12.396)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.739,12.473)",10.931107008934,314.50505423795113,"(55.665,12.359)","(55.739,12.473)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.643,12.291)",4.9393396542086,957.7207692774798,"(55.665,12.359)","(55.643,12.291)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.64,12.371)",2.8418471897676003,305.313668058257,"(55.665,12.36)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.72,12.405)",6.7114167392485,590.4992855079898,"(55.665,12.361)","(55.72,12.405)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.64,12.371)",2.8229976298999997,609.98019467875,"(55.665,12.361)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.363) → (55.632,12.458)",7.066273132605799,391.52670017377585,"(55.665,12.363)","(55.632,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.364) → (55.64,12.093)",17.199687170032,366.1234154193323,"(55.665,12.364)","(55.64,12.093)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.739,12.474)",10.516366595329,314.545894914773,"(55.665,12.371)","(55.739,12.474)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.631,12.458)",6.7016350714725,391.6665989433212,"(55.665,12.371)","(55.631,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.616,12.358)",5.5717384322709,321.38280848237576,"(55.665,12.371)","(55.616,12.358)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.771,12.502)",14.369421833515998,250.50549476059578,"(55.665,12.371)","(55.771,12.502)",Albertslund,Lyngby-Tårbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.778,12.502)",15.011802069461998,250.32034929143046,"(55.665,12.371)","(55.778,12.502)",Albertslund,Lyngby-Tårbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.665,12.458)",5.5122474555415,639.5517888799278,"(55.665,12.371)","(55.665,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.64,12.371)",2.7569967367947994,304.9169389479942,"(55.665,12.371)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.584,12.287)",10.410737396471,202.3313611527889,"(55.665,12.371)","(55.584,12.287)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.371) → (55.64,12.111)",16.498261002466,365.90032673759305,"(55.665,12.371)","(55.64,12.111)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.666,12.355)",0.0062283414128756,28509.868940471555,"(55.666,12.355)","(55.666,12.355)",Albertslund,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.666,12.362) → (55.68,12.539)",11.192870735847,3364.4802925623003,"(55.666,12.362)","(55.68,12.539)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.666,12.363) → (55.679,12.545)",11.503572072392002,3363.715284394715,"(55.666,12.363)","(55.679,12.545)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.666,12.364) → (55.68,12.54)",11.173655840893,3365.7661347321073,"(55.666,12.364)","(55.68,12.54)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.666,12.367) → (55.686,12.529)",10.380639506053999,3363.2785391976813,"(55.666,12.367)","(55.686,12.529)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.667,12.351) → (55.645,12.285)",4.787340089887599,957.0594543417634,"(55.667,12.351)","(55.645,12.285)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.667,12.351) → (55.646,12.294)",4.2847063947952995,956.6938236484403,"(55.667,12.351)","(55.646,12.294)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.667,12.356)",0.00963044470686615,56963.00540942179,"(55.667,12.356)","(55.667,12.356)",Albertslund,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.667,12.356) → (55.667,12.357)",0.023812284708919,28469.125879029227,"(55.667,12.356)","(55.667,12.357)",Albertslund,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.667,12.357)",0.019144960192093,28479.298354313138,"(55.667,12.357)","(55.667,12.357)",Albertslund,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.667,12.361) → (55.67,12.415)",3.3641516604016,1094.7402478661684,"(55.667,12.361)","(55.67,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.667,12.366) → (55.671,12.528)",10.188539551277,3368.091832895298,"(55.667,12.366)","(55.671,12.528)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.668,12.358) → (55.587,12.295)",9.882457314750098,202.25406338876425,"(55.668,12.358)","(55.587,12.295)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.668,12.361) → (55.674,12.458)",6.159502864247901,638.8660097518109,"(55.668,12.361)","(55.674,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.668,12.363) → (55.616,12.354)",5.888242546911299,321.03819585518136,"(55.668,12.363)","(55.616,12.354)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.668,12.364) → (55.671,12.415)",3.2040141641183,1094.349219338177,"(55.668,12.364)","(55.671,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.668,12.365) → (55.674,12.415)",3.1757493419388996,1094.4913282238529,"(55.668,12.365)","(55.674,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.668,12.365) → (55.633,12.458)",7.0416011138431,391.8162866768293,"(55.668,12.365)","(55.633,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.668,12.366) → (55.677,12.415)",3.2181508473237996,1095.9153769249015,"(55.668,12.366)","(55.677,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.668,12.366) → (55.616,12.36)",5.8132240070579,321.16089071871255,"(55.668,12.366)","(55.616,12.36)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.668,12.371) → (55.674,12.458)",5.557505617507,638.7207457963246,"(55.668,12.371)","(55.674,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.669,12.356) → (55.645,12.283)",5.258887306290401,956.4762927000239,"(55.669,12.356)","(55.645,12.283)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.669,12.367) → (55.673,12.458)",5.7330580133737,639.110172530238,"(55.669,12.367)","(55.673,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.669,12.371) → (55.67,12.458)",5.513114881285699,638.6378142178803,"(55.669,12.371)","(55.67,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.671,12.353) → (55.721,12.382)",5.902691022208001,590.7102803735337,"(55.671,12.353)","(55.721,12.382)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.671,12.354) → (55.72,12.389)",5.9098221700931,590.9360389224311,"(55.671,12.354)","(55.72,12.389)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.671,12.364) → (55.676,12.415)",3.2427226148119996,1095.1586373508098,"(55.671,12.364)","(55.676,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.672,12.365) → (55.616,12.359)",6.2448682184073,320.9651988926255,"(55.672,12.365)","(55.616,12.359)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.822,12.312) → (55.814,12.371)",3.773104212069,391.5775426490031,"(55.822,12.312)","(55.814,12.371)",Allerød,Furesø,Region Hovedstaden,Region Hovedstaden
"(55.824,12.308) → (55.814,12.371)",4.0944595283403,391.52670017377585,"(55.824,12.308)","(55.814,12.371)",Allerød,Furesø,Region Hovedstaden,Region Hovedstaden
"(55.859,12.339) → (55.859,12.34)",0.018627916840146,14978.943943120754,"(55.859,12.339)","(55.859,12.34)",Allerød,Allerød,Region Hovedstaden,Region Hovedstaden
"(55.859,12.339) → (55.937,12.302)",8.925284403167199,558.6064607880155,"(55.859,12.339)","(55.937,12.302)",Allerød,Hillerød,Region Hovedstaden,Region Hovedstaden
"(55.859,12.34) → (55.859,12.339)",0.01970521965592,14989.294187618007,"(55.859,12.34)","(55.859,12.339)",Allerød,Allerød,Region Hovedstaden,Region Hovedstaden
"(55.859,12.34)",0.037466603831942,14973.221454685658,"(55.859,12.34)","(55.859,12.34)",Allerød,Allerød,Region Hovedstaden,Region Hovedstaden
"(55.859,12.341)",0.01027684368733785,29937.690069880664,"(55.859,12.341)","(55.859,12.341)",Allerød,Allerød,Region Hovedstaden,Region Hovedstaden
"(55.863,12.342) → (55.933,12.306)",8.0587673208193,558.8199498505599,"(55.863,12.342)","(55.933,12.306)",Allerød,Hillerød,Region Hovedstaden,Region Hovedstaden
"(55.863,12.39) → (55.838,12.439)",4.1288349497692005,211.88520926441967,"(55.863,12.39)","(55.838,12.439)",Allerød,Rudersdal,Region Hovedstaden,Region Hovedstaden
"(55.863,12.405) → (55.838,12.415)",2.80531999214,211.96618787435028,"(55.863,12.405)","(55.838,12.415)",Allerød,Rudersdal,Region Hovedstaden,Region Hovedstaden
"(55.715,12.404) → (55.774,12.502)",8.9814611450932,366.1234154193323,"(55.715,12.404)","(55.774,12.502)",Ballerup,Lyngby-Tårbæk,Region Hovedstaden,Region Hovedstaden
"(55.715,12.405) → (55.678,12.458)",5.3287645002412996,317.9492818115254,"(55.715,12.405)","(55.678,12.458)",Ballerup,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.718,12.389) → (55.684,12.415)",4.2050146920721,446.4136380990104,"(55.718,12.389)","(55.684,12.415)",Ballerup,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.718,12.399) → (55.697,12.526)",8.2618027886754,3718.3990941410875,"(55.718,12.399)","(55.697,12.526)",Ballerup,København,Region Hovedstaden,Region Hovedstaden
"(55.718,12.402) → (55.67,12.362)",5.9263623983408,385.39306886245504,"(55.718,12.402)","(55.67,12.362)",Ballerup,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.719,12.393) → (55.681,12.415)",4.4630388290644,446.1416264607494,"(55.719,12.393)","(55.681,12.415)",Ballerup,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.719,12.394) → (55.687,12.53)",9.2408473638071,3714.411926044448,"(55.719,12.394)","(55.687,12.53)",Ballerup,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.719,12.397) → (55.739,12.415)",2.4987934138017995,520.0818772853937,"(55.719,12.397)","(55.739,12.415)",Ballerup,Herlev,Region Hovedstaden,Region Hovedstaden
"(55.719,12.406) → (55.682,12.415)",4.162620912605201,446.0836993783184,"(55.719,12.406)","(55.682,12.415)",Ballerup,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.719,12.407) → (55.739,12.415)",2.3175962257216,519.8961100668172,"(55.719,12.407)","(55.739,12.415)",Ballerup,Herlev,Region Hovedstaden,Region Hovedstaden
"(55.72,12.398) → (55.689,12.527)",8.7843960343389,3715.8315056155043,"(55.72,12.398)","(55.689,12.527)",Ballerup,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.721,12.393) → (55.691,12.517)",8.4671478901106,3713.5673511876766,"(55.721,12.393)","(55.691,12.517)",Ballerup,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.721,12.403) → (55.739,12.415)",2.1373465800355,520.6401497414488,"(55.721,12.403)","(55.739,12.415)",Ballerup,Herlev,Region Hovedstaden,Region Hovedstaden
"(55.721,12.403) → (55.771,12.502)",8.3266668070595,365.9835432749067,"(55.721,12.403)","(55.771,12.502)",Ballerup,Lyngby-Tårbæk,Region Hovedstaden,Region Hovedstaden
"(55.722,12.384) → (55.806,12.371)",9.3834136163709,356.4885886977709,"(55.722,12.384)","(55.806,12.371)",Ballerup,Furesø,Region Hovedstaden,Region Hovedstaden
"(55.722,12.387)",0.015132881739636474,116080.75478632044,"(55.722,12.387)","(55.722,12.387)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.722,12.387) → (55.723,12.387)",0.012099614577573999,29005.625023926565,"(55.722,12.387)","(55.723,12.387)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.722,12.389) → (55.673,12.371)",5.504569560267099,385.1082296791238,"(55.722,12.389)","(55.673,12.371)",Ballerup,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.722,12.391) → (55.654,12.283)",10.205785221316,301.7072869590679,"(55.722,12.391)","(55.654,12.283)",Ballerup,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.722,12.395) → (55.692,12.518)",8.3672718090407,3713.085181156219,"(55.722,12.395)","(55.692,12.518)",Ballerup,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.722,12.401) → (55.684,12.415)",4.387446669282601,446.24309223870205,"(55.722,12.401)","(55.684,12.415)",Ballerup,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.723,12.392) → (55.742,12.469)",5.3207756662223,764.0709061353316,"(55.723,12.392)","(55.742,12.469)",Ballerup,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.723,12.395) → (55.672,12.365)",5.9217361020321,385.2458350262176,"(55.723,12.395)","(55.672,12.365)",Ballerup,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.723,12.4) → (55.739,12.415)",2.0509988030662,520.2806429643143,"(55.723,12.4)","(55.739,12.415)",Ballerup,Herlev,Region Hovedstaden,Region Hovedstaden
"(55.724,12.393) → (55.742,12.472)",5.3105662079294005,764.3629199105359,"(55.724,12.393)","(55.742,12.472)",Ballerup,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.725,12.377) → (55.731,12.319)",3.7006541574184,944.2130187130149,"(55.725,12.377)","(55.731,12.319)",Ballerup,Egedal,Region Hovedstaden,Region Hovedstaden
"(55.725,12.384) → (55.782,12.502)",9.753552426731499,365.90032673759305,"(55.725,12.384)","(55.782,12.502)",Ballerup,Lyngby-Tårbæk,Region Hovedstaden,Region Hovedstaden
"(55.725,12.386) → (55.741,12.474)",5.7927637402781995,763.8971733644486,"(55.725,12.386)","(55.741,12.474)",Ballerup,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.725,12.397) → (55.739,12.415)",1.9776066712664,519.9636222060533,"(55.725,12.397)","(55.739,12.415)",Ballerup,Herlev,Region Hovedstaden,Region Hovedstaden
"(55.726,12.383) → (55.739,12.311)",4.7233957562677,943.8522958142331,"(55.726,12.383)","(55.739,12.311)",Ballerup,Egedal,Region Hovedstaden,Region Hovedstaden
"(55.726,12.394) → (55.678,12.458)",6.7056758276924,317.82781389662955,"(55.726,12.394)","(55.678,12.458)",Ballerup,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.727,12.38) → (55.729,12.327)",3.3191461882857998,944.8654569381848,"(55.727,12.38)","(55.729,12.327)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.727,12.38) → (55.741,12.284)",6.2028033911059,943.6376847443189,"(55.727,12.38)","(55.741,12.284)",Ballerup,Egedal,Region Hovedstaden,Region Hovedstaden
"(55.727,12.393) → (55.647,12.295)",10.751490174821,301.77590410387046,"(55.727,12.393)","(55.647,12.295)",Ballerup,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.728,12.391) → (55.748,12.468)",5.2839584679117,763.7979888635955,"(55.728,12.391)","(55.748,12.468)",Ballerup,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.729,12.327) → (55.729,12.371)",2.7516277309217,1934.7245070639021,"(55.729,12.327)","(55.729,12.371)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.729,12.379) → (55.665,12.354)",7.224647066443599,385.15823867115057,"(55.729,12.379)","(55.665,12.354)",Ballerup,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.73,12.375) → (55.732,12.32)",3.4503658397707997,943.5151627138533,"(55.73,12.375)","(55.732,12.32)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.732,12.384) → (55.682,12.458)",7.2130473472437,317.7555469036992,"(55.732,12.384)","(55.682,12.458)",Ballerup,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.734,12.381) → (55.781,12.357)",5.490673467774,356.3523973992513,"(55.734,12.381)","(55.781,12.357)",Ballerup,Furesø,Region Hovedstaden,Region Hovedstaden
"(55.739,12.32) → (55.745,12.465)",9.1391176934815,513.6611133682901,"(55.739,12.32)","(55.745,12.465)",Ballerup,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.64,12.415)",0.0,16086.815599188612,"(55.64,12.415)","(55.64,12.415)",Brøndby,Brøndby,Region Hovedstaden,Region Hovedstaden
"(55.64,12.415) → (55.683,12.534)",8.8980849038173,382.0354530676658,"(55.64,12.415)","(55.683,12.534)",Brøndby,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.64,12.415) → (55.665,12.415)",2.756996736794433,741.9580591933277,"(55.64,12.415)","(55.665,12.415)",Brøndby,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.64,12.415) → (55.67,12.415)",3.2736063283392998,247.1432031473216,"(55.64,12.415)","(55.67,12.415)",Brøndby,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.64,12.415) → (55.675,12.542)",8.876998160485,381.89899443179775,"(55.64,12.415)","(55.675,12.542)",Brøndby,København,Region Hovedstaden,Region Hovedstaden
"(55.64,12.415) → (55.671,12.458)",4.4128710709302,147.67757009338342,"(55.64,12.415)","(55.671,12.458)",Brøndby,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.64,12.415) → (55.675,12.458)",4.7425454275362,147.73400973060777,"(55.64,12.415)","(55.675,12.458)",Brøndby,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.589,12.65)",0.0,5759.179928004174,"(55.589,12.65)","(55.589,12.65)",Dragør,Dragør,Region Hovedstaden,Region Hovedstaden
"(55.589,12.65) → (55.589,12.651)",0.029916479885224053,11506.152724887577,"(55.589,12.65)","(55.589,12.651)",Dragør,Dragør,Region Hovedstaden,Region Hovedstaden
"(55.589,12.651)",0.0142785774902215,11504.700833880699,"(55.589,12.651)","(55.589,12.651)",Dragør,Dragør,Region Hovedstaden,Region Hovedstaden
"(55.591,12.651) → (55.622,12.614)",4.2102521094241,452.6638561558057,"(55.591,12.651)","(55.622,12.614)",Dragør,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.591,12.654) → (55.668,12.584)",9.683007911694501,956.6938236484403,"(55.591,12.654)","(55.668,12.584)",Dragør,København,Region Hovedstaden,Region Hovedstaden
"(55.591,12.655) → (55.676,12.575)",10.708545173308,957.0594543417634,"(55.591,12.655)","(55.676,12.575)",Dragør,København,Region Hovedstaden,Region Hovedstaden
"(55.591,12.658) → (55.62,12.608)",4.5252301101866,452.8368559133847,"(55.591,12.658)","(55.62,12.608)",Dragør,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.591,12.658) → (55.626,12.616)",4.6830194490932,452.50216987297046,"(55.591,12.658)","(55.626,12.616)",Dragør,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.591,12.66) → (55.611,12.598)",4.5117913662209,452.56093043860193,"(55.591,12.66)","(55.611,12.598)",Dragør,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.591,12.663) → (55.665,12.603)",9.0836978619661,956.3521037031575,"(55.591,12.663)","(55.665,12.603)",Dragør,København,Region Hovedstaden,Region Hovedstaden
"(55.591,12.664) → (55.665,12.605)",9.056822614138,956.4762927000239,"(55.591,12.664)","(55.665,12.605)",Dragør,København,Region Hovedstaden,Region Hovedstaden
"(55.591,12.669) → (55.671,12.6)",9.869571095360099,957.7207692774798,"(55.591,12.669)","(55.671,12.6)",Dragør,København,Region Hovedstaden,Region Hovedstaden
"(55.732,12.317) → (55.728,12.379)",3.899606230674,1931.959618890271,"(55.732,12.317)","(55.728,12.379)",Egedal,Ballerup,Region Hovedstaden,Region Hovedstaden
