,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.75) → (56.09,14.678)",15.028144919252998,90.1700052481835,"(56.219,14.75)","(56.09,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.777) → (56.317,14.59)",15.837043178545999,68.63686966652773,"(56.219,14.777)","(56.317,14.59)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.78) → (56.059,14.678)",18.857453935902,90.11955498026187,"(56.219,14.78)","(56.059,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.795) → (56.088,14.678)",16.231379467913,90.12570124023759,"(56.219,14.795)","(56.088,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.822) → (56.098,14.678)",16.162562834920003,90.06355935988837,"(56.219,14.822)","(56.098,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.941) → (56.219,15.24)",18.475595124119,80.74925843120911,"(56.219,14.941)","(56.219,15.24)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.967) → (56.219,15.236)",16.621645153141,80.70958320021276,"(56.219,14.967)","(56.219,15.236)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.223,14.838)",0.090106562463866,13699.111692854625,"(56.222,14.837)","(56.223,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.839) → (56.222,14.841)",0.075673287710703,13691.447017075903,"(56.222,14.839)","(56.222,14.841)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.837)",0.01478259383412,13682.939861556772,"(56.223,14.837)","(56.223,14.837)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.838)",0.054592446059050996,13692.380789916095,"(56.223,14.838)","(56.223,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.18,15.557) → (56.219,15.275)",17.93391814604,184.27431391486382,"(56.18,15.557)","(56.219,15.275)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.187,15.576) → (56.219,15.276)",18.846034055111,184.15981540753293,"(56.187,15.576)","(56.219,15.276)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.202,15.541) → (56.219,15.262)",17.371570428192,184.2868816404858,"(56.202,15.541)","(56.219,15.262)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.203,15.616) → (56.204,15.615)",0.16384048709051002,28000.357335320517,"(56.203,15.616)","(56.204,15.615)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.204,15.616) → (56.205,15.617)",0.13989648208199,28017.76612296798,"(56.204,15.616)","(56.205,15.617)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.204,15.617)",0.062033347450265994,28033.450885368096,"(56.204,15.617)","(56.204,15.617)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.205,15.617) → (56.206,15.617)",0.1058425494346,28019.676967673862,"(56.205,15.617)","(56.206,15.617)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.221,15.547) → (56.219,15.291)",15.863436407292,184.37747341792746,"(56.221,15.547)","(56.219,15.291)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.319,14.514) → (56.32,14.515)",0.07053901055913701,5046.247788612252,"(56.319,14.514)","(56.32,14.515)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.32,14.512) → (56.32,14.513)",0.074038108794822,5049.729588893311,"(56.32,14.512)","(56.32,14.513)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.32,14.512) → (56.32,14.514)",0.1006303117679,5049.3852148642245,"(56.32,14.512)","(56.32,14.514)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.32,14.514) → (56.32,14.513)",0.041905117534191,5052.211935845983,"(56.32,14.514)","(56.32,14.513)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,15.205) → (56.219,14.906)",18.475595124119,108.95793732028721,"(56.219,15.205)","(56.219,14.906)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.205) → (56.219,14.947)",15.939732317692,108.95050676718226,"(56.219,15.205)","(56.219,14.947)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.246) → (56.219,14.908)",20.899989907672,109.01149888213229,"(56.219,15.246)","(56.219,14.908)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.252) → (56.219,14.971)",17.388796965649,108.88281056941727,"(56.219,15.252)","(56.219,14.971)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.255) → (56.21,15.634)",23.459104909013,162.65209973949987,"(56.219,15.255)","(56.21,15.634)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,15.267) → (56.203,15.59)",20.055530936881002,162.76432612042905,"(56.219,15.267)","(56.203,15.59)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,15.277) → (56.222,15.55)",16.909690546487,162.8443378362717,"(56.219,15.277)","(56.222,15.55)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
