,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(49.445,8.567) → (49.559,8.604)",13.031984987363998,944.9821643652091,"(49.445,8.567)","(49.559,8.604)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Hesse
"(49.486,8.572) → (49.57,8.597)",9.564533933458199,944.8320023959592,"(49.486,8.572)","(49.57,8.597)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.49,8.564) → (49.535,8.59)",5.3606598736702,944.7539227550884,"(49.49,8.564)","(49.535,8.59)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Baden-Württemberg
"(49.491,8.551) → (49.548,8.589)",6.8419204681894,944.7951679169546,"(49.491,8.551)","(49.548,8.589)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.493,8.554) → (49.538,8.579)",5.39259075584,944.7265757493446,"(49.493,8.554)","(49.538,8.579)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.502,8.548) → (49.547,8.591)",5.855650101128401,944.6891877312403,"(49.502,8.548)","(49.547,8.591)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.504,8.56) → (49.566,8.58)",7.069030827928,944.8098933165822,"(49.504,8.56)","(49.566,8.58)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(48.653,8.942)",0.005151067478603,677165.4001241362,"(48.653,8.942)","(48.653,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.653,8.943)",0.00434147633532015,1354258.99453608,"(48.653,8.943)","(48.653,8.943)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.653,8.944)",0.00784637911291075,1354362.862257789,"(48.653,8.944)","(48.653,8.944)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.654,8.944)",0.009457662820897,677063.0442033665,"(48.654,8.944)","(48.654,8.944)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.654,8.945)",0.0063881778097845,677139.0006852411,"(48.654,8.945)","(48.654,8.945)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(49.757,9.511) → (50.086,8.949)",54.394764865587995,371.7534958520023,"(49.757,9.511)","(50.086,8.949)",Regierungsbezirk Stuttgart,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(48.452,10.041) → (48.47,9.985)",4.5400337727257005,1226.335677606605,"(48.452,10.041)","(48.47,9.985)",Swabia,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.43,10.041) → (48.457,9.996)",4.4839485086759,1226.3892157950231,"(48.43,10.041)","(48.457,9.996)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.437,9.995) → (48.406,10.041)",4.829882774734,1142.5879792129447,"(48.437,9.995)","(48.406,10.041)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.445,9.947) → (48.454,10.012)",4.9153226338687,1142.3618798197624,"(48.445,9.947)","(48.454,10.012)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.446,10.028) → (48.456,9.973)",4.262247750292,1226.4370287065985,"(48.446,10.028)","(48.456,9.973)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.458,9.962) → (48.435,10.02)",5.008060487456599,1142.406416779843,"(48.458,9.962)","(48.435,10.02)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
