,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(55.665,12.351) → (55.64,12.415)",4.843549457749,178.75557564135556,"(55.665,12.351)","(55.64,12.415)",Albertslund,Brøndby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.645,12.282)",5.0197499545405,1685.919334351866,"(55.665,12.354)","(55.645,12.282)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.64,12.371)",2.8242504433908,438.5314014445442,"(55.665,12.361)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.362) → (55.646,12.087)",17.332788880387,505.69105739398896,"(55.665,12.362)","(55.646,12.087)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.665,12.363) → (55.591,12.31)",8.936721101471901,599.1562752294644,"(55.665,12.363)","(55.591,12.31)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.364) → (55.746,12.292)",10.043620654270999,418.9254103541,"(55.665,12.364)","(55.746,12.292)",Albertslund,Egedal,Region Hovedstaden,Region Hovedstaden
"(55.665,12.364) → (55.632,12.625)",16.822968526705,342.2353620747198,"(55.665,12.364)","(55.632,12.625)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.364) → (55.591,12.292)",9.4184684781229,600.1080039388365,"(55.665,12.364)","(55.591,12.292)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.365) → (55.616,12.361)",5.520731264954599,799.0621471765257,"(55.665,12.365)","(55.616,12.361)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.366) → (55.616,12.358)",5.5380333347067,799.4005099208007,"(55.665,12.366)","(55.616,12.358)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.725,12.379)",6.708624364716799,571.3626833223942,"(55.665,12.371)","(55.725,12.379)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.727,12.371)",6.884638199500801,571.8527826439033,"(55.665,12.371)","(55.727,12.371)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.744,12.272)",10.695308378139,418.31910743246715,"(55.665,12.371)","(55.744,12.272)",Albertslund,Egedal,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.797,12.396)",14.761259996938,160.62487378492025,"(55.665,12.371)","(55.797,12.396)",Albertslund,Furesø,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.803,12.384)",15.291435149212,160.90170007990557,"(55.665,12.371)","(55.803,12.384)",Albertslund,Furesø,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.814,12.371)",16.505343891451002,160.88001807722,"(55.665,12.371)","(55.814,12.371)",Albertslund,Furesø,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.814,12.381)",16.517547460394002,160.69575468442338,"(55.665,12.371)","(55.814,12.381)",Albertslund,Furesø,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.744,12.478)",11.013968976389,426.5886800556994,"(55.665,12.371)","(55.744,12.478)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.746,12.479)",11.269990108599,425.7833955885981,"(55.665,12.371)","(55.746,12.479)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.739,12.415)",8.7073515249417,143.02373340436048,"(55.665,12.371)","(55.739,12.415)",Albertslund,Herlev,Region Hovedstaden,Region Hovedstaden
