,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.799) → (56.189,14.502)",18.701392755254,119.74341364702573,"(56.219,14.799)","(56.189,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.803) → (56.184,14.502)",19.040196250751,119.59209053592954,"(56.219,14.803)","(56.184,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.805) → (56.181,14.502)",19.198601220053998,119.64147325719057,"(56.219,14.805)","(56.181,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.806) → (56.073,14.678)",18.034038877617,267.64378383450315,"(56.219,14.806)","(56.073,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.814) → (56.317,14.535)",20.411427950645002,295.02499655466306,"(56.219,14.814)","(56.317,14.535)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.817) → (56.068,14.678)",18.874936788136,268.0619600961826,"(56.219,14.817)","(56.068,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.818) → (56.193,15.604)",48.646643463836,123.66909362238168,"(56.219,14.818)","(56.193,15.604)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.82) → (56.071,14.678)",18.660114219727003,267.72320267702406,"(56.219,14.82)","(56.071,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.821) → (56.317,14.539)",20.528029257820002,294.8157415841989,"(56.219,14.821)","(56.317,14.539)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.823) → (56.078,14.678)",18.028989509902,267.8337526325743,"(56.219,14.823)","(56.078,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.835) → (56.317,14.527)",21.877229702676,295.27637228868844,"(56.219,14.835)","(56.317,14.527)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.192,15.605)",46.605292525666,123.72015984550387,"(56.219,14.854)","(56.192,15.605)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.219,15.653)",49.399749108541,123.8255754759016,"(56.219,14.854)","(56.219,15.653)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.166,14.502)",22.526338081951998,119.55661409866133,"(56.219,14.854)","(56.166,14.502)",Karlshamns kommun,Bromölla Kommun,Blekinge,Skåne
"(56.219,14.889) → (56.186,15.592)",43.641330831444996,123.63240776111567,"(56.219,14.889)","(56.186,15.592)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.899) → (56.219,15.27)",22.978041241038998,319.76934326194373,"(56.219,14.899)","(56.219,15.27)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.928) → (56.219,15.242)",19.430659925119,319.3652417720846,"(56.219,14.928)","(56.219,15.242)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.941) → (56.219,15.238)",18.339745370373002,319.2705035589251,"(56.219,14.941)","(56.219,15.238)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.949) → (56.219,15.267)",19.679884623851,319.49711608454294,"(56.219,14.949)","(56.219,15.267)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.222,14.836)",0.07656736049602901,13649.832975559662,"(56.222,14.837)","(56.222,14.836)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.838)",0.065277081395394,13653.883336528228,"(56.222,14.838)","(56.222,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.84) → (56.223,14.838)",0.10836445805087,13671.159964905313,"(56.222,14.84)","(56.223,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.841) → (56.222,14.839)",0.16910875964396999,13659.52138426129,"(56.222,14.841)","(56.222,14.839)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.228,14.807) → (56.317,14.559)",18.239963690418,294.9032232533717,"(56.228,14.807)","(56.317,14.559)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.17,15.621) → (56.378,15.996)",32.787850701485,190.20370424787026,"(56.17,15.621)","(56.378,15.996)",Karlskrona Kommun,Torsås Kommun,Blekinge,Kalmar
"(56.175,15.602) → (56.373,15.988)",32.451563344231,190.33870745462133,"(56.175,15.602)","(56.373,15.988)",Karlskrona Kommun,Torsås Kommun,Blekinge,Kalmar
"(56.179,15.557) → (56.219,14.866)",42.984290715757,328.7806887713186,"(56.179,15.557)","(56.219,14.866)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.187,15.557) → (56.219,14.854)",43.634447007697,329.2943875293207,"(56.187,15.557)","(56.219,14.854)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.189,15.567) → (56.226,15.262)",19.336116642767,1116.7674635124954,"(56.189,15.567)","(56.226,15.262)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.191,15.557) → (56.394,15.986)",34.778334144682,190.50088534754093,"(56.191,15.557)","(56.394,15.986)",Karlskrona Kommun,Torsås Kommun,Blekinge,Kalmar
"(56.193,15.557) → (56.219,14.899)",40.749265671595,328.87824897380625,"(56.193,15.557)","(56.219,14.899)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.194,15.564) → (56.229,15.256)",19.435665252621,1117.0988456878874,"(56.194,15.564)","(56.229,15.256)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.194,15.566) → (56.223,15.254)",19.522991225451,1117.5601251978483,"(56.194,15.566)","(56.223,15.254)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.196,15.569) → (56.221,15.266)",18.918957888968002,1118.5123411119903,"(56.196,15.569)","(56.221,15.266)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.198,15.557) → (56.219,14.873)",42.373973592118,329.01405145727404,"(56.198,15.557)","(56.219,14.873)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.198,15.604) → (56.202,15.613)",0.7018359231970799,32136.27443056517,"(56.198,15.604)","(56.202,15.613)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.198,15.604) → (56.203,15.614)",0.8086681647312101,32186.485300076667,"(56.198,15.604)","(56.203,15.614)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.198,15.618) → (56.397,16.008)",32.711790548404004,190.26014403443335,"(56.198,15.618)","(56.397,16.008)",Karlskrona Kommun,Torsås Kommun,Blekinge,Kalmar
"(56.199,15.606) → (56.202,15.616)",0.75017118741775,32159.08418665438,"(56.199,15.606)","(56.202,15.616)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.2,15.608) → (56.202,15.616)",0.5828170091685301,32145.810335646336,"(56.2,15.608)","(56.202,15.616)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.317,14.525) → (56.219,14.803)",20.275426741759,365.7222307520938,"(56.317,14.525)","(56.219,14.803)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.317,14.532) → (56.219,14.779)",18.708169409775,366.0338439892036,"(56.317,14.532)","(56.219,14.779)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.319,14.511) → (56.319,14.512)",0.098374295238425,5515.743829595705,"(56.319,14.511)","(56.319,14.512)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.319,14.511) → (56.319,14.514)",0.20113576203134,5520.443513249811,"(56.319,14.511)","(56.319,14.514)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.319,14.513) → (56.319,14.514)",0.13393595581429,5511.831629525784,"(56.319,14.513)","(56.319,14.514)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.32,14.512) → (56.32,14.513)",0.027234608987348,5513.467173912115,"(56.32,14.512)","(56.32,14.513)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,15.226) → (56.207,15.617)",24.164347221387,864.068256440325,"(56.219,15.226)","(56.207,15.617)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,15.235) → (56.224,14.925)",19.163854822321,437.77902714562913,"(56.219,15.235)","(56.224,14.925)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.238) → (56.219,14.911)",20.219526417736002,437.4685197701017,"(56.219,15.238)","(56.219,14.911)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.243) → (56.219,14.927)",19.562392982246,438.15203629934416,"(56.219,15.243)","(56.219,14.927)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.244) → (56.222,15.566)",19.944180819829,864.6815567224227,"(56.219,15.244)","(56.222,15.566)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,15.245) → (56.224,14.927)",19.638323407281998,437.59833127919677,"(56.219,15.245)","(56.224,14.927)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.246) → (56.212,15.595)",21.537909244225002,864.3246543278544,"(56.219,15.246)","(56.212,15.595)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,15.25) → (56.214,15.606)",22.013629720398,865.418307721686,"(56.219,15.25)","(56.214,15.606)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.227,15.239) → (56.228,15.244)",0.33861024862109995,13571.827360402665,"(56.227,15.239)","(56.228,15.244)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.227,15.241) → (56.228,15.245)",0.24118075530885,13550.655329773272,"(56.227,15.241)","(56.228,15.245)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
