,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.791) → (56.317,14.502)",20.875488467937,272.57198970132777,"(56.219,14.791)","(56.317,14.502)",Karlshamns kommun,Olofströms Kommun,Blekinge,Skåne
"(56.219,14.798) → (56.108,14.678)",14.393427547507999,172.69327088146002,"(56.219,14.798)","(56.108,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.81) → (56.317,14.521)",20.875488467937,272.758530644549,"(56.219,14.81)","(56.317,14.521)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.814) → (56.083,14.678)",17.33364114749,172.62504496434008,"(56.219,14.814)","(56.083,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.814) → (56.106,14.678)",15.095145960687,172.73389122074295,"(56.219,14.814)","(56.106,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.821) → (56.103,14.678)",15.656354069144001,172.57516507717202,"(56.219,14.821)","(56.103,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.824) → (56.317,14.502)",22.667007225531997,272.82268800285567,"(56.219,14.824)","(56.317,14.502)",Karlshamns kommun,Olofströms Kommun,Blekinge,Skåne
"(56.219,14.827) → (56.175,15.557)",45.392812416102,101.60967663422278,"(56.219,14.827)","(56.175,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.882) → (56.19,15.557)",41.850532187522,101.7031322140823,"(56.219,14.882)","(56.19,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.889) → (56.199,15.557)",41.366094070363005,101.67921556571946,"(56.219,14.889)","(56.199,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.895) → (56.219,15.239)",21.218465291483,203.4062644281646,"(56.219,14.895)","(56.219,15.239)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.927) → (56.219,15.264)",20.830323413559,203.2780903318397,"(56.219,14.927)","(56.219,15.264)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.222,14.838)",0.015359300275399999,16212.38840519377,"(56.222,14.838)","(56.222,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.839)",0.066630952817847,16223.483728041461,"(56.222,14.839)","(56.222,14.839)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.838) → (56.222,14.838)",0.061109964047429,16227.299762158022,"(56.223,14.838)","(56.222,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.841) → (56.222,14.84)",0.033198333407072005,16217.074317584547,"(56.223,14.841)","(56.222,14.84)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.231,14.917) → (56.219,15.226)",19.143641615826002,203.35843113143892,"(56.231,14.917)","(56.219,15.226)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.238,14.959) → (56.219,15.205)",15.365444526311,203.21935326844556,"(56.238,14.959)","(56.219,15.205)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.188,15.557) → (56.219,15.261)",18.610340914647,393.64963524578485,"(56.188,15.557)","(56.219,15.261)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.202,15.615) → (56.2,15.607)",0.57468543912857,35348.87750463906,"(56.202,15.615)","(56.2,15.607)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.203,15.615) → (56.2,15.609)",0.52090670830135,35381.38966247685,"(56.203,15.615)","(56.2,15.609)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.203,15.617) → (56.199,15.607)",0.7266778324335401,35373.069326251956,"(56.203,15.617)","(56.199,15.607)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.204,15.618) → (56.204,15.616)",0.10762063628108,35359.094490499454,"(56.204,15.618)","(56.204,15.616)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.21,15.604) → (56.219,15.242)",22.408694443509003,393.5358904563549,"(56.21,15.604)","(56.219,15.242)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.215,15.604) → (56.223,15.26)",21.290829609773,393.80521584183407,"(56.215,15.604)","(56.223,15.26)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.223,15.624) → (56.219,15.251)",23.078846526685,393.8978454005727,"(56.223,15.624)","(56.219,15.251)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.317,14.537) → (56.219,14.804)",19.748583755706,143.64206643411163,"(56.317,14.537)","(56.219,14.804)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.317,14.546) → (56.219,14.81)",19.567592985369,143.54382889596553,"(56.317,14.546)","(56.219,14.81)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.317,14.563) → (56.219,14.831)",19.764356436932,143.67585344529087,"(56.317,14.563)","(56.219,14.831)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.32,14.514) → (56.319,14.513)",0.10677729649873,12608.621336036951,"(56.32,14.514)","(56.319,14.513)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.32,14.514) → (56.32,14.513)",0.081908559982442,6303.234118464268,"(56.32,14.514)","(56.32,14.513)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.32,14.515) → (56.319,14.513)",0.08131821896492901,6305.725320877237,"(56.32,14.515)","(56.319,14.513)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,15.205) → (56.219,14.956)",15.396332953696001,154.83379296643471,"(56.219,15.205)","(56.219,14.956)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.239) → (56.219,14.929)",19.148374787117,154.9397570525249,"(56.219,15.239)","(56.219,14.929)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.267) → (56.196,15.557)",18.087747519226998,613.0609073499928,"(56.219,15.267)","(56.196,15.557)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,15.27) → (56.194,15.569)",18.706251665349,613.3032049995777,"(56.219,15.27)","(56.194,15.569)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.222,15.271) → (56.183,15.571)",19.051009039282,612.8837638254707,"(56.222,15.271)","(56.183,15.571)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.226,15.26) → (56.187,15.565)",19.341606742539,613.4474641484329,"(56.226,15.26)","(56.187,15.565)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.228,15.247) → (56.228,15.245)",0.11900496677461,15744.66132227433,"(56.228,15.247)","(56.228,15.245)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.229,15.245) → (56.228,15.243)",0.10122522671902999,15759.142486886849,"(56.229,15.245)","(56.228,15.243)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.229,15.246) → (56.229,15.244)",0.099886147852572,15755.436545278626,"(56.229,15.246)","(56.229,15.244)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.23,15.244) → (56.23,15.245)",0.039945987122642995,15749.212046185869,"(56.23,15.244)","(56.23,15.245)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.23,15.252) → (56.23,14.935)",19.640219353831,154.97620146907778,"(56.23,15.252)","(56.23,14.935)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.046,14.678) → (56.023,14.15)",32.861065974438,101.60967663422278,"(56.046,14.678)","(56.023,14.15)",Sölvesborgs kommun,Kristianstads kommun,Blekinge,Skåne
"(56.052,14.678)",0.095818468123243,5978.842401318474,"(56.052,14.678)","(56.052,14.678)",Sölvesborgs kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.053,14.678) → (56.054,14.678)",0.067510006272782,5984.34144631116,"(56.053,14.678)","(56.054,14.678)",Sölvesborgs kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.054,14.678) → (56.053,14.678)",0.067177444664433,5982.934160351144,"(56.054,14.678)","(56.053,14.678)",Sölvesborgs kommun,Sölvesborgs kommun,Blekinge,Blekinge
