,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(55.665,12.344) → (55.648,12.295)",3.6190561976256,678.571697136138,"(55.665,12.344)","(55.648,12.295)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.348) → (55.644,12.288)",4.4220618327848,678.5671740465233,"(55.665,12.348)","(55.644,12.288)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.348) → (55.656,12.283)",4.2024163549248,678.3376892046783,"(55.665,12.348)","(55.656,12.283)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.349) → (55.651,12.291)",3.9822398982687,678.3174460033849,"(55.665,12.349)","(55.651,12.291)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.349) → (55.654,12.283)",4.3071003599559,677.9497795140187,"(55.665,12.349)","(55.654,12.283)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.351) → (55.645,12.294)",4.256061942062,678.4339416902656,"(55.665,12.351)","(55.645,12.294)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.353) → (55.673,12.534)",11.388258077049999,1277.4001108737825,"(55.665,12.353)","(55.673,12.534)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.353) → (55.644,12.302)",3.9484425461311,678.4462897827558,"(55.665,12.353)","(55.644,12.302)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.356) → (55.694,12.526)",11.130725418471998,1278.5719346038811,"(55.665,12.356)","(55.694,12.526)",Albertslund,København,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.665,12.516)",9.9644458127703,1278.3356407485608,"(55.665,12.357)","(55.665,12.516)",Albertslund,København,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.674,12.415)",3.5582481678702997,546.2403497279779,"(55.665,12.36)","(55.674,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.665,12.415)",3.3467218107027,546.4287876938375,"(55.665,12.361)","(55.665,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.668,12.415)",3.3479463430467002,546.3178583084771,"(55.665,12.361)","(55.668,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.64,12.371)",2.8195847114093,182.14292923127917,"(55.665,12.361)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.365) → (55.678,12.536)",10.79736236432,1278.1310143961834,"(55.665,12.365)","(55.678,12.536)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.365) → (55.692,12.504)",9.2430783958107,1278.3123743427109,"(55.665,12.365)","(55.692,12.504)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.367) → (55.679,12.531)",10.352193393923,1278.5634121508174,"(55.665,12.367)","(55.679,12.531)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.67,12.415)",2.8054817618447,546.4251454164108,"(55.665,12.371)","(55.67,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.671,12.458)",5.5546849986112,192.85593367638032,"(55.665,12.371)","(55.671,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.679,12.458)",5.719896070536,192.81806763828604,"(55.665,12.371)","(55.679,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.64,12.371)",2.7569967367947994,182.10926725747655,"(55.665,12.371)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.666,12.354)",0.007352072902015119,202297.68795261203,"(55.666,12.354)","(55.666,12.354)",Albertslund,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.666,12.355)",0.0039450248234819,80920.24554699234,"(55.666,12.355)","(55.666,12.355)",Albertslund,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.668,12.365) → (55.661,12.527)",10.171997179593001,1278.09287194322,"(55.668,12.365)","(55.661,12.527)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.668,12.365) → (55.673,12.415)",3.1567572750073,545.9279803454992,"(55.668,12.365)","(55.673,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.669,12.364) → (55.672,12.415)",3.1992646728964003,546.2240486237785,"(55.669,12.364)","(55.672,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.669,12.371) → (55.675,12.415)",2.8404289563262,546.3278017724297,"(55.669,12.371)","(55.675,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.858,12.339)",0.012774516541485849,48134.93316265881,"(55.858,12.339)","(55.858,12.339)",Allerød,Allerød,Region Hovedstaden,Region Hovedstaden
"(55.858,12.339) → (55.859,12.339)",0.018751819172483995,24078.580958378123,"(55.858,12.339)","(55.859,12.339)",Allerød,Allerød,Region Hovedstaden,Region Hovedstaden
"(55.859,12.34) → (55.859,12.339)",0.011829850783039,24070.27737167338,"(55.859,12.34)","(55.859,12.339)",Allerød,Allerød,Region Hovedstaden,Region Hovedstaden
"(55.859,12.34) → (55.859,12.341)",0.0193013919459215,48143.69003510611,"(55.859,12.34)","(55.859,12.341)",Allerød,Allerød,Region Hovedstaden,Region Hovedstaden
"(55.859,12.341)",3.5366209960586e-13,24073.692815135637,"(55.859,12.341)","(55.859,12.341)",Allerød,Allerød,Region Hovedstaden,Region Hovedstaden
"(55.715,12.401) → (55.697,12.504)",6.764968121766,1260.2424128378677,"(55.715,12.401)","(55.697,12.504)",Ballerup,København,Region Hovedstaden,Region Hovedstaden
"(55.715,12.409) → (55.7,12.49)",5.328532255839599,1260.2800225750077,"(55.715,12.409)","(55.7,12.49)",Ballerup,København,Region Hovedstaden,Region Hovedstaden
"(55.717,12.402) → (55.693,12.506)",7.0815668702140995,1260.7063812548563,"(55.717,12.402)","(55.693,12.506)",Ballerup,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.717,12.41) → (55.698,12.506)",6.3859388653200995,1260.4588495613882,"(55.717,12.41)","(55.698,12.506)",Ballerup,København,Region Hovedstaden,Region Hovedstaden
"(55.718,12.401) → (55.707,12.492)",5.8902945631870995,1260.4817910174356,"(55.718,12.401)","(55.707,12.492)",Ballerup,København,Region Hovedstaden,Region Hovedstaden
"(55.719,12.404) → (55.697,12.501)",6.623176326360401,1260.714784679246,"(55.719,12.404)","(55.697,12.501)",Ballerup,København,Region Hovedstaden,Region Hovedstaden
"(55.72,12.405) → (55.739,12.415)",2.2410545667192,228.48587654850863,"(55.72,12.405)","(55.739,12.415)",Ballerup,Herlev,Region Hovedstaden,Region Hovedstaden
"(55.721,12.404) → (55.739,12.415)",2.1754414586638,228.56999546830258,"(55.721,12.404)","(55.739,12.415)",Ballerup,Herlev,Region Hovedstaden,Region Hovedstaden
"(55.721,12.404) → (55.712,12.468)",4.1485921202206,1259.559327202361,"(55.721,12.404)","(55.712,12.468)",Ballerup,København,Region Hovedstaden,Region Hovedstaden
"(55.722,12.386)",0.009974573682936567,118203.21621542866,"(55.722,12.386)","(55.722,12.386)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.722,12.387) → (55.722,12.386)",0.012084505043241,78756.29631122903,"(55.722,12.387)","(55.722,12.386)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.722,12.387)",0.00595394808160365,78785.58633507324,"(55.722,12.387)","(55.722,12.387)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.722,12.388) → (55.739,12.458)",4.805361792978901,178.50459105352235,"(55.722,12.388)","(55.739,12.458)",Ballerup,Herlev,Region Hovedstaden,Region Hovedstaden
"(55.722,12.391) → (55.739,12.469)",5.2297057650353,178.53524781322778,"(55.722,12.391)","(55.739,12.469)",Ballerup,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.724,12.377) → (55.731,12.327)",3.2416124752922006,653.3268032558918,"(55.724,12.377)","(55.731,12.327)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.724,12.399) → (55.739,12.458)",4.1404956364236005,178.5703089596114,"(55.724,12.399)","(55.739,12.458)",Ballerup,Herlev,Region Hovedstaden,Region Hovedstaden
"(55.727,12.377) → (55.731,12.327)",3.1881098463397004,653.4509001591806,"(55.727,12.377)","(55.731,12.327)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.727,12.382) → (55.729,12.327)",3.4472470041276,653.5716872416488,"(55.727,12.382)","(55.729,12.327)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.728,12.327) → (55.724,12.371)",2.7751465409551,457.0585531168039,"(55.728,12.327)","(55.724,12.371)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.728,12.327) → (55.729,12.371)",2.7554788935272003,456.98539062209915,"(55.728,12.327)","(55.729,12.371)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.729,12.327) → (55.724,12.371)",2.8142919228427004,457.13999093660516,"(55.729,12.327)","(55.724,12.371)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.73,12.327) → (55.729,12.371)",2.7544051635468,457.1430380706615,"(55.73,12.327)","(55.729,12.371)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.73,12.371) → (55.741,12.3)",4.5725548904442,653.5673307921777,"(55.73,12.371)","(55.741,12.3)",Ballerup,Egedal,Region Hovedstaden,Region Hovedstaden
"(55.731,12.327) → (55.723,12.378)",3.3388547793943,456.72406198839155,"(55.731,12.327)","(55.723,12.378)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.734,12.371) → (55.732,12.327)",2.7544652309959,653.4390069964137,"(55.734,12.371)","(55.732,12.327)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.735,12.379) → (55.735,12.327)",3.2670699709626003,652.9726823740285,"(55.735,12.379)","(55.735,12.327)",Ballerup,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.739,12.327) → (55.701,12.492)",11.204725859241,235.49834446276438,"(55.739,12.327)","(55.701,12.492)",Ballerup,København,Region Hovedstaden,Region Hovedstaden
