,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(49.39,8.492) → (49.403,8.389)",7.590498878602,1533.3927068096086,"(49.39,8.492)","(49.403,8.389)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.394,8.493) → (49.4,8.366)",9.247312088881301,1534.0758032773876,"(49.394,8.493)","(49.4,8.366)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.407,8.497) → (49.409,8.384)",8.141790478883701,1533.8751298366465,"(49.407,8.497)","(49.409,8.384)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.407,8.498) → (49.417,8.385)",8.2653394764144,1533.9046446243908,"(49.407,8.498)","(49.417,8.385)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.456,8.577) → (49.584,8.594)",14.198941990885,912.5427114432113,"(49.456,8.577)","(49.584,8.594)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.466,8.575) → (49.581,8.606)",12.891239161318,912.6445362742659,"(49.466,8.575)","(49.581,8.606)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.468,8.547) → (49.578,8.61)",13.115958676500002,912.2381520149385,"(49.468,8.547)","(49.578,8.61)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.48,8.567) → (49.572,8.593)",10.39538338023,912.5656555542272,"(49.48,8.567)","(49.572,8.593)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.491,8.559) → (49.56,8.584)",7.885724812624099,912.3456294753404,"(49.491,8.559)","(49.56,8.584)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.492,8.563) → (49.539,8.588)",5.5432408297817,912.3503123930801,"(49.492,8.563)","(49.539,8.588)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.493,8.564) → (49.546,8.593)",6.3147991187007,912.5251526565355,"(49.493,8.564)","(49.546,8.593)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Baden-Württemberg
"(49.546,8.603) → (49.491,8.562)",6.761085637213,814.8699276933486,"(49.546,8.603)","(49.491,8.562)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(48.653,8.943)",0.0050866769818252,1930414.8742623632,"(48.653,8.943)","(48.653,8.943)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.653,8.944)",0.00634079893000335,1286693.7053417978,"(48.653,8.944)","(48.653,8.944)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.654,8.944)",0.0057338356470102,643538.2595130557,"(48.654,8.944)","(48.654,8.944)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.655,8.941)",0.013000338448871,643593.8859339864,"(48.655,8.941)","(48.655,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.466,10.055) → (48.459,9.989)",4.9552535058342,1173.9160282901398,"(48.466,10.055)","(48.459,9.989)",Swabia,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.393,9.95) → (48.381,10.022)",5.5107113089788,1103.6062020628628,"(48.393,9.95)","(48.381,10.022)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.416,9.909) → (48.372,10.039)",10.700768229213,1103.210137478406,"(48.416,9.909)","(48.372,10.039)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.437,9.96) → (48.407,10.03)",6.176869816468701,1103.5572201087184,"(48.437,9.96)","(48.407,10.03)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.45,9.857) → (48.414,10.095)",17.994544313217002,1103.7015960230979,"(48.45,9.857)","(48.414,10.095)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.455,10.035) → (48.469,9.956)",6.0691389382042,1174.0603621632067,"(48.455,10.035)","(48.469,9.956)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.459,9.865) → (48.379,10.113)",20.437754210995,1103.3401147476136,"(48.459,9.865)","(48.379,10.113)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.476,9.923) → (48.453,10.078)",11.69003742837,1103.5784547297653,"(48.476,9.923)","(48.453,10.078)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.482,9.868) → (48.414,10.076)",17.175882543667,1103.3457780081471,"(48.482,9.868)","(48.414,10.076)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(49.792,9.548) → (50.096,8.882)",58.464057923191994,431.64823656096837,"(49.792,9.548)","(50.096,8.882)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.906,9.368) → (50.069,8.891)",38.62015034143,431.69640143940273,"(49.906,9.368)","(50.069,8.891)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.946,9.352) → (50.106,8.941)",34.347158159838,431.65908951605235,"(49.946,9.352)","(50.106,8.941)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.957,9.154) → (50.062,8.927)",20.01780880238,431.6399309559707,"(49.957,9.154)","(50.062,8.927)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(50.012,9.1) → (50.036,8.949)",11.121240993428,431.5041747669357,"(50.012,9.1)","(50.036,8.949)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(50.03,9.071) → (50.08,8.961)",9.604856869708302,431.55501343527504,"(50.03,9.071)","(50.08,8.961)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(50.044,9.121) → (50.042,8.937)",13.085137283501,431.5572285350824,"(50.044,9.121)","(50.042,8.937)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(50.05,9.024) → (50.045,9.108)",6.0306658384534,468.1787256085359,"(50.05,9.024)","(50.045,9.108)",Regierungsbezirk Unterfranken,Regierungsbezirk Unterfranken,Bavaria,Bavaria
"(48.347,10.134) → (48.347,9.904)",17.007237882961,1174.3079513791124,"(48.347,10.134)","(48.347,9.904)",Swabia,Tübingen Region,Bavaria,Baden-Württemberg
"(48.353,10.044) → (48.392,9.952)",8.0720578619194,1174.2853558090078,"(48.353,10.044)","(48.392,9.952)",Swabia,Tübingen Region,Bavaria,Baden-Württemberg
"(48.369,10.102) → (48.443,9.928)",15.248894030499,1174.0543359383862,"(48.369,10.102)","(48.443,9.928)",Swabia,Tübingen Region,Bavaria,Baden-Württemberg
"(48.375,10.039) → (48.369,9.923)",8.5831895540916,1174.4389849266447,"(48.375,10.039)","(48.369,9.923)",Swabia,Tübingen Region,Bavaria,Baden-Württemberg
"(48.414,10.06) → (48.444,9.944)",9.1823427134449,1174.3374770677904,"(48.414,10.06)","(48.444,9.944)",Swabia,Tübingen Region,Bavaria,Baden-Württemberg
"(48.822,11.357)",0.0046611746041576,773194.3683131264,"(48.822,11.357)","(48.822,11.357)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(48.824,11.356)",0.012528699247283002,773093.2262613975,"(48.824,11.356)","(48.824,11.356)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(48.825,11.357)",0.0031531720732998,773108.1021023548,"(48.825,11.357)","(48.825,11.357)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(48.825,11.359)",0.0039713524809847,1545886.23506808,"(48.825,11.359)","(48.825,11.359)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(48.826,11.358)",0.00698067071847175,1545977.6191163436,"(48.826,11.358)","(48.826,11.358)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(50.291,11.098) → (50.407,11.131)",13.117159059802,86.27317057862491,"(50.291,11.098)","(50.407,11.131)",Upper Franconia,Upper Franconia,Bavaria,Thuringia
"(50.298,11.026) → (50.385,11.052)",9.847426001290302,86.26188512979202,"(50.298,11.026)","(50.385,11.052)",Upper Franconia,Upper Franconia,Bavaria,Thuringia
"(50.329,11.285) → (50.385,11.317)",6.6448661499582,86.24535731060989,"(50.329,11.285)","(50.385,11.317)",Upper Franconia,Upper Franconia,Bavaria,Bavaria
"(50.334,11.101) → (50.401,11.156)",8.4589715056919,86.23475468160049,"(50.334,11.101)","(50.401,11.156)",Upper Franconia,Upper Franconia,Bavaria,Thuringia
"(50.337,11.025) → (50.393,11.066)",6.8899066347373,86.24491462986738,"(50.337,11.025)","(50.393,11.066)",Upper Franconia,Upper Franconia,Bavaria,Thuringia
"(50.403,11.34) → (50.347,11.303)",6.762804079274201,72.71439486487866,"(50.403,11.34)","(50.347,11.303)",Upper Franconia,Upper Franconia,Bavaria,Bavaria
"(52.495,13.35) → (52.511,13.39)",3.2372629518772,3009.308724263107,"(52.495,13.35)","(52.511,13.39)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.498,13.322) → (52.512,13.37)",3.6482999173157995,3008.6588034672127,"(52.498,13.322)","(52.512,13.37)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.498,13.394) → (52.513,13.402)",1.7871397440083001,3009.3843874760005,"(52.498,13.394)","(52.513,13.402)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.498,13.415) → (52.512,13.409)",1.5499800903483,3009.644513863524,"(52.498,13.415)","(52.512,13.409)",Upper Franconia,Upper Franconia,Berlin,Berlin
