,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(55.665,12.344) → (55.645,12.283)",4.4628062518193,745.5075286145554,"(55.665,12.344)","(55.645,12.283)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.344) → (55.631,12.617)",17.599430166422,269.7270535046439,"(55.665,12.344)","(55.631,12.617)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.345) → (55.646,12.277)",4.755501268779,745.8343573560215,"(55.665,12.345)","(55.646,12.277)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.347) → (55.629,12.458)",8.0678487232624,263.3805345986523,"(55.665,12.347)","(55.629,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.348) → (55.648,12.285)",4.3718756083269,746.2867258585148,"(55.665,12.348)","(55.648,12.285)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.349) → (55.739,12.469)",11.205957714152,206.24576375357262,"(55.665,12.349)","(55.739,12.469)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.349) → (55.64,12.371)",3.0824160601633,241.16771842768156,"(55.665,12.349)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.35) → (55.665,12.458)",6.784304327175599,469.6421743137172,"(55.665,12.35)","(55.665,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.351) → (55.739,12.469)",11.090395114846,206.26186444472768,"(55.665,12.351)","(55.739,12.469)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.351) → (55.649,12.283)",4.665508750299099,745.6577612629163,"(55.665,12.351)","(55.649,12.283)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.351) → (55.649,12.284)",4.5808196345705,745.872413695348,"(55.665,12.351)","(55.649,12.284)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.352) → (55.646,12.29)",4.4373390624495,745.7159714540154,"(55.665,12.352)","(55.646,12.29)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.352) → (55.626,12.628)",17.866312694340998,269.7059987546719,"(55.665,12.352)","(55.626,12.628)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.352) → (55.626,12.631)",18.001730436145998,269.7698739372844,"(55.665,12.352)","(55.626,12.631)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.352) → (55.631,12.618)",17.110284345417,269.72692443693217,"(55.665,12.352)","(55.631,12.618)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.353) → (55.724,12.397)",7.1448945151519,263.5821201968372,"(55.665,12.353)","(55.724,12.397)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.353) → (55.739,12.467)",10.931107008934,206.29460948145277,"(55.665,12.353)","(55.739,12.467)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.739,12.473)",11.128753623963,206.30513570296858,"(55.665,12.354)","(55.739,12.473)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.633,12.458)",7.4705798981547,263.42234749170126,"(55.665,12.354)","(55.633,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.627,12.624)",17.452066542537,269.93349658712236,"(55.665,12.354)","(55.627,12.624)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.63,12.615)",16.844965195502,269.6516592861158,"(55.665,12.354)","(55.63,12.615)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.355) → (55.671,12.415)",3.7865130685765997,847.1941372646752,"(55.665,12.355)","(55.671,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.355) → (55.628,12.458)",7.703481882501051,526.7957639214296,"(55.665,12.355)","(55.628,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.355) → (55.644,12.281)",5.253610696970799,745.7156146197536,"(55.665,12.355)","(55.644,12.281)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.355) → (55.616,12.35)",5.525274205333201,209.43502368044142,"(55.665,12.355)","(55.616,12.35)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.356) → (55.671,12.415)",3.7159740729064,847.0234474046225,"(55.665,12.356)","(55.671,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.725,12.396)",7.108164656045799,263.4357886668676,"(55.665,12.357)","(55.725,12.396)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.746,12.458)",10.982055006933999,206.41973268427006,"(55.665,12.357)","(55.746,12.458)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.671,12.415)",3.6837261733196,847.2602739498814,"(55.665,12.357)","(55.671,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.358) → (55.679,12.543)",11.732971931637001,2382.4517191043874,"(55.665,12.358)","(55.679,12.543)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.358) → (55.616,12.358)",5.5157396447763,209.4790608676296,"(55.665,12.358)","(55.616,12.358)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.358) → (55.677,12.458)",6.4402233292398,469.51112440406047,"(55.665,12.358)","(55.677,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.358) → (55.64,12.371)",2.8613860835470004,241.35230283083882,"(55.665,12.358)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.721,12.403)",6.8383732078626,263.42234749170126,"(55.665,12.359)","(55.721,12.403)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.672,12.415)",3.5870801564334,847.9087481030786,"(55.665,12.359)","(55.672,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.632,12.458)",7.251059986441,263.30691436173663,"(55.665,12.359)","(55.632,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.616,12.351)",5.538485057403999,209.37658250451344,"(55.665,12.359)","(55.616,12.351)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.616,12.327)",5.869097903090299,209.41877550362756,"(55.665,12.359)","(55.616,12.327)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.36) → (55.72,12.394)",6.4988060801176,263.3804085678279,"(55.665,12.36)","(55.72,12.394)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.616,12.352)",5.5348583820409,209.46837270424433,"(55.665,12.36)","(55.616,12.352)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.64,12.371)",2.8418471897688997,241.20600493216014,"(55.665,12.36)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.683,12.537)",11.20618346711,2383.116708848659,"(55.665,12.361)","(55.683,12.537)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.683,12.548)",11.939206742028,2382.9318242912773,"(55.665,12.361)","(55.683,12.548)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.674,12.415)",3.4896462821194,847.2598685254221,"(55.665,12.361)","(55.674,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.616,12.354)",5.5329018824337,209.59542087941267,"(55.665,12.361)","(55.616,12.354)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.64,12.371)",2.8242504433908,241.21831251424018,"(55.665,12.361)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.362) → (55.725,12.396)",7.0095137123983005,263.3805345986523,"(55.665,12.362)","(55.725,12.396)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.362) → (55.629,12.458)",7.283723080554499,263.5821201968372,"(55.665,12.362)","(55.629,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.362) → (55.676,12.542)",11.358381887256998,2383.1178491998535,"(55.665,12.362)","(55.676,12.542)",Albertslund,København,Region Hovedstaden,Region Hovedstaden
"(55.665,12.363) → (55.634,12.458)",6.935606238888,263.3804085678279,"(55.665,12.363)","(55.634,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.616,12.341)",5.8141000564493,209.43512389772346,"(55.665,12.371)","(55.616,12.341)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.782,12.489)",14.916723157121,165.0356875851622,"(55.665,12.371)","(55.782,12.489)",Albertslund,Lyngby-Tårbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.64,12.371)",2.7569967367947994,482.2679101523722,"(55.665,12.371)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
