,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(49.395,8.49) → (49.397,8.369)",8.781327443732001,2325.351082553371,"(49.395,8.49)","(49.397,8.369)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.398,8.491) → (49.407,8.368)",9.0007073603161,2325.001186506222,"(49.398,8.491)","(49.407,8.368)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.403,8.494) → (49.412,8.375)",8.6999100633619,2325.2205675267282,"(49.403,8.494)","(49.412,8.375)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.484,8.568) → (49.601,8.599)",13.122710309619,1412.544554393068,"(49.484,8.568)","(49.601,8.599)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.486,8.568) → (49.581,8.587)",10.63524083109,1412.0285104327845,"(49.486,8.568)","(49.581,8.587)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.487,8.564) → (49.586,8.591)",11.113072391589,1412.0158885140945,"(49.487,8.564)","(49.586,8.591)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.487,8.571) → (49.581,8.596)",10.55664154028,1412.3028187385748,"(49.487,8.571)","(49.581,8.596)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.487,8.573) → (49.586,8.601)",11.223684625499,1412.5650657522283,"(49.487,8.573)","(49.586,8.601)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.491,8.56) → (49.578,8.591)",9.9021343749315,1412.161745743545,"(49.491,8.56)","(49.578,8.591)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.494,8.566) → (49.589,8.592)",10.756264223835,1412.2410106229474,"(49.494,8.566)","(49.589,8.592)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.588,8.618) → (49.472,8.58)",13.205734780085,2099.0592965210894,"(49.588,8.618)","(49.472,8.58)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.595,8.616) → (49.476,8.566)",13.722179207286999,2098.8612534721824,"(49.595,8.616)","(49.476,8.566)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(48.657,8.94)",0.026472694977906,556328.1280245199,"(48.657,8.94)","(48.657,8.94)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.658,8.94)",0.010125332937121,556436.2033396671,"(48.658,8.94)","(48.658,8.94)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.658,8.941) → (48.658,8.94)",0.015914872304346,556380.6216891127,"(48.658,8.941)","(48.658,8.94)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.658,8.941)",0.023771187601347003,556323.1550878228,"(48.658,8.941)","(48.658,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.659,8.938)",0.043048008765481996,556539.5266005701,"(48.659,8.938)","(48.659,8.938)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.659,8.94) → (48.658,8.939)",0.033346722559412,556411.851428208,"(48.659,8.94)","(48.658,8.939)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.659,8.94)",0.034763519599885,556531.4452863752,"(48.659,8.94)","(48.659,8.94)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.409,9.94) → (48.391,10.03)",6.919936427848099,2558.5445102050667,"(48.409,9.94)","(48.391,10.03)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.419,9.95) → (48.395,10.02)",5.8523313925866995,2559.516729007195,"(48.419,9.95)","(48.395,10.02)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.438,9.926) → (48.407,10.02)",7.747072181358,2559.0415469183467,"(48.438,9.926)","(48.407,10.02)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.438,9.933) → (48.407,10.018)",7.147764021850199,2558.7859277617185,"(48.438,9.933)","(48.407,10.018)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.442,9.927) → (48.416,10.039)",8.7564289083984,2559.47956316742,"(48.442,9.927)","(48.416,10.039)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.447,10.025) → (48.466,9.926)",7.544537108804599,2251.822622692244,"(48.447,10.025)","(48.466,9.926)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.448,9.929) → (48.416,10.008)",6.8266061153567,2558.929552851828,"(48.448,9.929)","(48.416,10.008)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.448,9.931) → (48.424,10.021)",7.119416899729299,2558.5216397456293,"(48.448,9.931)","(48.424,10.021)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.449,10.019) → (48.465,9.942)",5.903560275691401,2251.1796752332157,"(48.449,10.019)","(48.465,9.942)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(49.978,9.144) → (50.031,8.938)",15.863192854835999,1013.4518082034912,"(49.978,9.144)","(50.031,8.938)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.985,9.146) → (50.052,8.947)",16.051162263379,1013.2549678057946,"(49.985,9.146)","(50.052,8.947)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(50.003,9.145) → (50.049,8.921)",16.723413799312,1013.6399935605242,"(50.003,9.145)","(50.049,8.921)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(50.005,9.106) → (50.029,8.917)",13.825022927553,1013.2459104661436,"(50.005,9.106)","(50.029,8.917)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(50.005,9.133) → (50.063,8.941)",15.190180279103,1013.625274851651,"(50.005,9.133)","(50.063,8.941)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(50.011,9.107) → (50.049,8.928)",13.438661057995,1013.4074554303372,"(50.011,9.107)","(50.049,8.928)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
