,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(49.395,8.488) → (49.404,8.372)",8.459649358138702,1269.822871257787,"(49.395,8.488)","(49.404,8.372)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.396,8.489) → (49.409,8.374)",8.4391653698587,1269.7455871920147,"(49.396,8.489)","(49.409,8.374)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.401,8.495) → (49.402,8.382)",8.2089121641201,1269.7069783978627,"(49.401,8.495)","(49.402,8.382)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.478,8.551) → (49.585,8.588)",12.186882312534001,968.670290614565,"(49.478,8.551)","(49.585,8.588)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.479,8.559) → (49.58,8.596)",11.527075754863,968.6168656480904,"(49.479,8.559)","(49.58,8.596)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.481,8.558) → (49.596,8.601)",13.201958710653,968.5579136074182,"(49.481,8.558)","(49.596,8.601)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.494,8.55) → (49.578,8.588)",9.823873970230599,968.3763117349602,"(49.494,8.55)","(49.578,8.588)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.495,8.569) → (49.575,8.594)",9.087298559491401,968.5284629414833,"(49.495,8.569)","(49.575,8.594)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.495,8.58) → (49.581,8.61)",9.8906282327774,968.6191239930145,"(49.495,8.58)","(49.581,8.61)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.496,8.569) → (49.579,8.588)",9.3573364609124,968.4601028477791,"(49.496,8.569)","(49.579,8.588)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.54,8.622) → (49.493,8.585)",5.8280016438659,1241.2307005182274,"(49.54,8.622)","(49.493,8.585)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.548,8.6) → (49.499,8.561)",6.0830526508007,1241.1430927191357,"(49.548,8.6)","(49.499,8.561)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(48.654,8.942)",0.01140135613812,536489.9572784263,"(48.654,8.942)","(48.654,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.654,8.942) → (48.654,8.943)",0.0041623166288183,536523.8620730618,"(48.654,8.942)","(48.654,8.943)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.654,8.943) → (48.653,8.943)",0.017289058936224,536522.6111624505,"(48.654,8.943)","(48.653,8.943)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.654,8.943)",0.009863293408426732,1609298.7906276006,"(48.654,8.943)","(48.654,8.943)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.656,8.941) → (48.655,8.941)",0.025849178722294,536552.2035673845,"(48.656,8.941)","(48.655,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.42,9.975) → (48.4,10.021)",4.012131592512899,1567.008329517855,"(48.42,9.975)","(48.4,10.021)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.425,9.962) → (48.414,10.046)",6.346724252685701,1567.0119830215592,"(48.425,9.962)","(48.414,10.046)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.432,10.014) → (48.461,9.976)",4.2680183638017,1153.9454838903278,"(48.432,10.014)","(48.461,9.976)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.435,9.938) → (48.407,10.035)",7.7742608766232,1567.0947593235283,"(48.435,9.938)","(48.407,10.035)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
