,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(55.665,12.347) → (55.646,12.287)",4.3749598138313,957.627617753453,"(55.665,12.347)","(55.646,12.287)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.347) → (55.64,12.083)",16.770146741189002,331.0424294818731,"(55.665,12.347)","(55.64,12.083)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.665,12.353) → (55.591,12.306)",8.7765790211254,179.63542685062882,"(55.665,12.353)","(55.591,12.306)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.354) → (55.719,12.394)",6.5272895660489,629.0718427254172,"(55.665,12.354)","(55.719,12.394)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.629,12.086)",17.318438160910002,331.1902484991835,"(55.665,12.354)","(55.629,12.086)",Albertslund,Roskilde,Region Hovedstaden,Region Sjælland
"(55.665,12.355) → (55.739,12.371)",8.3209811279549,628.5125202503829,"(55.665,12.355)","(55.739,12.371)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.355) → (55.591,12.29)",9.2171044074643,179.71563872048716,"(55.665,12.355)","(55.591,12.29)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.356) → (55.616,12.353)",5.5188030935914005,379.8389656457889,"(55.665,12.356)","(55.616,12.353)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.629,12.458)",7.4972234245297,333.6423346888686,"(55.665,12.357)","(55.629,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.647,12.278)",5.3953616181077,956.8782451158888,"(55.665,12.357)","(55.647,12.278)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.358) → (55.643,12.288)",4.9962990905016,957.2968526072922,"(55.665,12.358)","(55.643,12.288)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.616,12.358)",5.5166853351677,379.67286937574147,"(55.665,12.359)","(55.616,12.358)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.64,12.371)",2.8492636669699003,300.4139004035666,"(55.665,12.359)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.739,12.482)",11.241806458989998,356.86391117353884,"(55.665,12.36)","(55.739,12.482)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.739,12.49)",11.568172778996999,356.90198424013465,"(55.665,12.36)","(55.739,12.49)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.616,12.351)",5.5432497364327,380.0107458096398,"(55.665,12.36)","(55.616,12.351)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.628,12.612)",16.38590685945,202.8435737767672,"(55.665,12.36)","(55.628,12.612)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.583,12.269)",10.766178203529,179.73481220726205,"(55.665,12.36)","(55.583,12.269)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.36) → (55.591,12.305)",8.965914885476199,179.57500578582366,"(55.665,12.36)","(55.591,12.305)",Albertslund,Greve,Region Hovedstaden,Region Sjælland
"(55.665,12.361) → (55.616,12.355)",5.529792506183799,379.80061676990096,"(55.665,12.361)","(55.616,12.355)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.363) → (55.739,12.48)",11.052201219392,356.58465434613555,"(55.665,12.363)","(55.739,12.48)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.364) → (55.629,12.458)",7.2054918598135,333.6086498654535,"(55.665,12.364)","(55.629,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.364) → (55.616,12.358)",5.525659055822201,379.9702075804586,"(55.665,12.364)","(55.616,12.358)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.715,12.393)",5.6782970562089,628.787476913637,"(55.665,12.371)","(55.715,12.393)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.739,12.485)",10.931107008934,356.70463331767724,"(55.665,12.371)","(55.739,12.485)",Albertslund,Gladsaxe,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.63,12.458)",6.7316592812580005,333.75761476661904,"(55.665,12.371)","(55.63,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.632,12.458)",6.66449724673,333.7932226706295,"(55.665,12.371)","(55.632,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.633,12.458)",6.596063335060401,333.49643931652963,"(55.665,12.371)","(55.633,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
