,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(55.665,12.345) → (55.645,12.289)",4.1350090261379,535.9368213351125,"(55.665,12.345)","(55.645,12.289)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.347) → (55.646,12.29)",4.1785256389735,534.8651366508622,"(55.665,12.347)","(55.646,12.29)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.348) → (55.643,12.297)",4.0031316023433,534.493643294223,"(55.665,12.348)","(55.643,12.297)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.351) → (55.646,12.284)",4.7159302409477,534.9533465635499,"(55.665,12.351)","(55.646,12.284)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.352) → (55.645,12.287)",4.6259656561582,535.6725296998685,"(55.665,12.352)","(55.645,12.287)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.616,12.371)",5.616805931074599,192.2269843420581,"(55.665,12.354)","(55.616,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.356) → (55.647,12.292)",4.508980539418901,535.6200090278608,"(55.665,12.356)","(55.647,12.292)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.358) → (55.616,12.371)",5.5717384322709,192.20813721095482,"(55.665,12.358)","(55.616,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.672,12.458)",6.2790271123325,243.16061207434083,"(55.665,12.359)","(55.672,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.671,12.458)",6.180618865032099,242.95165604282866,"(55.665,12.36)","(55.671,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
