,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(49.387,8.499) → (49.412,8.377)",9.2682119980124,2889.195433962502,"(49.387,8.499)","(49.412,8.377)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.398,8.489) → (49.409,8.373)",8.5010112628368,2889.5433408880685,"(49.398,8.489)","(49.409,8.373)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.398,8.491) → (49.412,8.366)",9.218399802225198,2889.364554202483,"(49.398,8.491)","(49.412,8.366)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.404,8.495) → (49.415,8.379)",8.4463533683373,2889.028856740975,"(49.404,8.495)","(49.415,8.379)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.471,8.58) → (49.593,8.634)",14.1141895072,1901.7861275401024,"(49.471,8.58)","(49.593,8.634)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.473,8.58) → (49.603,8.608)",14.60307662381,1901.6684570301557,"(49.473,8.58)","(49.603,8.608)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.476,8.56) → (49.571,8.594)",10.765488603725,1901.6854081569413,"(49.476,8.56)","(49.571,8.594)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.48,8.59) → (49.576,8.618)",10.838733414303999,1901.557148602374,"(49.48,8.59)","(49.576,8.618)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Hesse
"(49.482,8.579) → (49.582,8.605)",11.275219336819001,1901.447513891386,"(49.482,8.579)","(49.582,8.605)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.482,8.606) → (49.612,8.614)",14.445077272851,1901.715778891432,"(49.482,8.606)","(49.612,8.614)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.487,8.569) → (49.56,8.604)",8.5523731159031,1901.456705988968,"(49.487,8.569)","(49.56,8.604)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Hesse
"(48.652,8.941)",0.01416652527327,627701.7413133496,"(48.652,8.941)","(48.652,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.653,8.941) → (48.653,8.942)",0.013231299109502,627740.5819344482,"(48.653,8.941)","(48.653,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.653,8.942)",0.019939911860753997,627628.8125163113,"(48.653,8.942)","(48.653,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.654,8.942)",0.010090889201398001,627665.0006850433,"(48.654,8.942)","(48.654,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.654,8.943)",0.0051736612238489,627631.8466391297,"(48.654,8.943)","(48.654,8.943)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.655,8.943)",0.0020346318855176,627707.3365325169,"(48.655,8.943)","(48.655,8.943)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.656,8.941)",0.028353183508056,627717.3612888587,"(48.656,8.941)","(48.656,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.385,9.92) → (48.376,10.05)",9.6272184291389,2031.9655025022657,"(48.385,9.92)","(48.376,10.05)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.39,9.958) → (48.361,10.047)",7.284811125114699,2031.8284561805506,"(48.39,9.958)","(48.361,10.047)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.398,10.01) → (48.413,9.942)",5.2702966301086,2316.464201549291,"(48.398,10.01)","(48.413,9.942)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.401,9.934) → (48.379,10.009)",6.1094224074387,2031.7211324746702,"(48.401,9.934)","(48.379,10.009)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.412,9.922) → (48.379,10.028)",8.621742725915999,2032.0731219387606,"(48.412,9.922)","(48.379,10.028)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.421,10.021) → (48.453,9.933)",7.4530729884637,2316.549892654177,"(48.421,10.021)","(48.453,9.933)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.434,9.911) → (48.421,10.028)",8.715105139127001,2031.9473900927635,"(48.434,9.911)","(48.421,10.028)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.443,9.994) → (48.463,9.954)",3.7064880215487004,2316.1486269977145,"(48.443,9.994)","(48.463,9.954)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.449,9.957) → (48.413,10.015)",5.8925951158092,2031.7113106476204,"(48.449,9.957)","(48.413,10.015)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.466,10.024) → (48.484,9.941)",6.4654066534551005,2316.4272072097565,"(48.466,10.024)","(48.484,9.941)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.475,9.926) → (48.446,10.059)",10.359576869925,2031.997953865938,"(48.475,9.926)","(48.446,10.059)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(49.907,9.276) → (50.061,8.924)",30.381349388295003,761.48210183236,"(49.907,9.276)","(50.061,8.924)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.922,9.291) → (50.055,8.903)",31.335789527392002,761.4307435189537,"(49.922,9.291)","(50.055,8.903)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.986,9.195) → (50.053,8.972)",17.588528443194,761.3905238001497,"(49.986,9.195)","(50.053,8.972)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(50.011,9.122) → (50.051,8.922)",15.009186022717,761.3868430558178,"(50.011,9.122)","(50.051,8.922)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
