,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(49.382,8.498) → (49.401,8.347)",11.106050221596998,5142.416197458592,"(49.382,8.498)","(49.401,8.347)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.383,8.499) → (49.401,8.356)",10.488587919521,5140.940393490301,"(49.383,8.499)","(49.401,8.356)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.385,8.499) → (49.405,8.359)",10.424593431589,5141.236170121533,"(49.385,8.499)","(49.405,8.359)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.39,8.502) → (49.405,8.356)",10.648993033406,5141.696383717694,"(49.39,8.502)","(49.405,8.356)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.392,8.5) → (49.407,8.359)",10.384709643028001,5142.303154415182,"(49.392,8.5)","(49.407,8.359)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.469,8.585) → (49.613,8.625)",16.295997606318,3048.553950210784,"(49.469,8.585)","(49.613,8.625)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.47,8.568) → (49.605,8.62)",15.492553696289999,3049.2536607241145,"(49.47,8.568)","(49.605,8.62)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.47,8.573) → (49.603,8.626)",15.274779665838,3048.3785661226607,"(49.47,8.573)","(49.603,8.626)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.47,8.573) → (49.612,8.62)",16.17837875501,3048.8268390511507,"(49.47,8.573)","(49.612,8.62)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.471,8.569) → (49.612,8.625)",16.218149041465,3048.7061805822123,"(49.471,8.569)","(49.612,8.625)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.472,8.571) → (49.593,8.613)",13.727581199872,3049.0804605865414,"(49.472,8.571)","(49.593,8.613)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Hesse
"(49.476,8.569) → (49.603,8.62)",14.57948247217,3049.186630577058,"(49.476,8.569)","(49.603,8.62)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(48.656,8.941) → (48.656,8.942)",0.081197378691371,613535.1212743602,"(48.656,8.941)","(48.656,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.656,8.942) → (48.656,8.943)",0.063622441062793,613438.4486263504,"(48.656,8.942)","(48.656,8.943)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.94) → (48.657,8.941)",0.06876045162999901,613513.7585222892,"(48.657,8.94)","(48.657,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.941)",0.057296304714897994,613372.5284313854,"(48.657,8.941)","(48.657,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.941) → (48.657,8.942)",0.058831928227013,1226870.5445844748,"(48.657,8.941)","(48.657,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.658,8.94) → (48.658,8.941)",0.07647620086040201,613548.6085922536,"(48.658,8.94)","(48.658,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
