,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.775) → (56.121,14.678)",12.448406195089,126.91863912388182,"(56.219,14.775)","(56.121,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.948) → (56.219,15.205)",15.883999052533,93.37544509238109,"(56.219,14.948)","(56.219,15.205)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.965) → (56.219,15.269)",18.771994570501,93.33754860921394,"(56.219,14.965)","(56.219,15.269)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.222,14.84)",0.030726750340927998,18252.256814284305,"(56.222,14.84)","(56.222,14.84)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.838)",0.019980794742205002,36507.128686022,"(56.223,14.838)","(56.223,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.842) → (56.223,14.841)",0.031328854153154,18244.8491243671,"(56.223,14.842)","(56.223,14.841)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.173,15.557) → (56.219,15.24)",20.222049032592,174.4182842291647,"(56.173,15.557)","(56.219,15.24)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.184,15.557) → (56.219,15.205)",22.090447552963,174.3474964587204,"(56.184,15.557)","(56.219,15.205)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.203,15.617)",0.047520149113599,37241.806788475704,"(56.203,15.617)","(56.203,15.617)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.204,15.616) → (56.204,15.615)",0.03526022350283701,37221.56657484406,"(56.204,15.616)","(56.204,15.615)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.204,15.617)",0.035510998473121,37206.46017862005,"(56.204,15.617)","(56.204,15.617)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.204,15.618) → (56.203,15.616)",0.10414038201585,37206.65921051916,"(56.204,15.618)","(56.203,15.616)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.241,15.549) → (56.219,15.229)",19.906633693805002,174.5131287953375,"(56.241,15.549)","(56.219,15.229)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.319,14.514)",0.0,6798.96098751128,"(56.319,14.514)","(56.319,14.514)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.32,14.515)",0.0,13587.810235913566,"(56.32,14.515)","(56.32,14.515)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.321,14.513)",0.0,6792.508018598834,"(56.321,14.513)","(56.321,14.513)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,15.205) → (56.183,15.557)",22.103165647407998,154.97555240775148,"(56.219,15.205)","(56.183,15.557)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,15.255) → (56.219,15.557)",18.630851979795,155.12278115141112,"(56.219,15.255)","(56.219,15.557)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,15.261) → (56.203,15.603)",21.237871310814,154.97638143255958,"(56.219,15.261)","(56.203,15.603)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,15.269) → (56.219,15.557)",17.783996329637002,155.03847487036862,"(56.219,15.269)","(56.219,15.557)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.23,15.244) → (56.23,15.243)",0.061038674840949,17160.11205316887,"(56.23,15.244)","(56.23,15.243)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.23,15.244)",0.033516505969277,17176.32249476534,"(56.23,15.244)","(56.23,15.244)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.23,15.245)",0.016646911209987,17160.020257512842,"(56.23,15.245)","(56.23,15.245)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
