,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.753) → (56.023,14.15)",43.248008784183995,92.70803775704039,"(56.219,14.753)","(56.023,14.15)",Karlshamns kommun,Kristianstads kommun,Blekinge,Skåne
"(56.219,14.777) → (56.317,14.502)",20.135558376699,190.84615666171908,"(56.219,14.777)","(56.317,14.502)",Karlshamns kommun,Olofströms Kommun,Blekinge,Skåne
"(56.219,14.778) → (56.317,14.502)",20.217251964727,190.72998777570845,"(56.219,14.778)","(56.317,14.502)",Karlshamns kommun,Olofströms Kommun,Blekinge,Skåne
"(56.219,14.785) → (56.099,14.678)",14.919986601118,203.40420224305876,"(56.219,14.785)","(56.099,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.795) → (56.317,14.534)",19.430971018693,190.7961878885869,"(56.219,14.795)","(56.317,14.534)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.797) → (56.023,14.2)",42.979397700778996,92.60079116646715,"(56.219,14.797)","(56.023,14.2)",Karlshamns kommun,Kristianstads kommun,Blekinge,Skåne
"(56.219,14.806) → (56.023,14.15)",46.088388752713,92.6329318009806,"(56.219,14.806)","(56.023,14.15)",Karlshamns kommun,Kristianstads kommun,Blekinge,Skåne
"(56.219,14.807) → (56.317,14.52)",20.787257196912,190.95088373838172,"(56.219,14.807)","(56.317,14.52)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.813) → (56.085,14.678)",17.062896286524,203.23941753349473,"(56.219,14.813)","(56.085,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.813) → (56.0,14.191)",45.590886859295,92.65719200242883,"(56.219,14.813)","(56.0,14.191)",Karlshamns kommun,Kristianstads kommun,Blekinge,Skåne
"(56.219,14.823) → (56.181,15.557)",45.583865351072,210.32271252343492,"(56.219,14.823)","(56.181,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.824) → (56.075,14.678)",18.370298029990998,203.29264513965728,"(56.219,14.824)","(56.075,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.824) → (56.08,14.678)",17.897736174723,203.1689000219503,"(56.219,14.824)","(56.08,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.206,15.557)",43.504715055347006,210.15232289177686,"(56.219,14.854)","(56.206,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.861) → (56.207,15.557)",43.063514693247996,210.079406825418,"(56.219,14.861)","(56.207,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.893) → (56.203,15.557)",41.105515646608,210.20736096073406,"(56.219,14.893)","(56.203,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.917) → (56.219,15.239)",19.886119943144,294.7285379440239,"(56.219,14.917)","(56.219,15.239)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.927) → (56.219,15.245)",19.632508962362,294.5668939778708,"(56.219,14.927)","(56.219,15.245)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.933) → (56.219,15.222)",17.879609073278,294.3875898277239,"(56.219,14.933)","(56.219,15.222)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.959) → (56.219,15.234)",17.026530849135998,294.4897682628189,"(56.219,14.959)","(56.219,15.234)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.222,14.836) → (56.222,14.838)",0.10955395505437,12391.051912153682,"(56.222,14.836)","(56.222,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.222,14.838)",0.040736116416856004,12376.717685010646,"(56.222,14.837)","(56.222,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.838)",0.04569455343862901,12384.25603554851,"(56.222,14.838)","(56.222,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.839) → (56.222,14.841)",0.07438535468574299,12381.013496683303,"(56.222,14.839)","(56.222,14.841)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.196,15.611) → (56.219,14.854)",46.896860138864,101.01025009349176,"(56.196,15.611)","(56.219,14.854)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.197,15.557) → (56.219,14.883)",41.742441946804,100.95485098772096,"(56.197,15.557)","(56.219,14.883)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.198,15.605) → (56.197,15.602)",0.1598021618805,29712.23425010341,"(56.198,15.605)","(56.197,15.602)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.198,15.606) → (56.197,15.605)",0.09964067720422098,29677.862518172376,"(56.198,15.606)","(56.197,15.605)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.199,15.608) → (56.198,15.605)",0.21475413239120003,29688.163351678457,"(56.199,15.608)","(56.198,15.605)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.2,15.608)",0.029703743055164,29695.938565196335,"(56.2,15.608)","(56.2,15.608)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.201,15.586) → (56.219,15.255)",20.574965302376,680.781411589013,"(56.201,15.586)","(56.219,15.255)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.204,15.583) → (56.219,14.854)",45.14016987451,100.92841823091915,"(56.204,15.583)","(56.219,14.854)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.211,15.573) → (56.223,15.253)",19.802158425126,680.408036793955,"(56.211,15.573)","(56.223,15.253)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.213,15.557) → (56.219,15.255)",18.642838779896,680.229887254962,"(56.213,15.557)","(56.219,15.255)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.213,15.583) → (56.219,15.234)",21.595215204579997,679.9938694612215,"(56.213,15.583)","(56.219,15.234)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.317,14.522) → (56.219,14.793)",19.916292439603,246.1638832303333,"(56.317,14.522)","(56.219,14.793)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.317,14.525) → (56.219,14.815)",20.961935586541,246.09943075484398,"(56.317,14.525)","(56.219,14.815)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.317,14.529) → (56.219,14.816)",20.815315665166,246.01404220345003,"(56.317,14.529)","(56.219,14.816)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.319,14.51)",0.018413739720973998,5424.1120598149,"(56.319,14.51)","(56.319,14.51)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.319,14.511) → (56.319,14.512)",0.013448625017661999,5419.717800893193,"(56.319,14.511)","(56.319,14.512)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.319,14.512) → (56.319,14.511)",0.058751018220882995,5421.1372037241945,"(56.319,14.512)","(56.319,14.511)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.319,14.513) → (56.319,14.512)",0.05577778303791099,5417.837333918675,"(56.319,14.513)","(56.319,14.512)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,15.236) → (56.219,14.936)",18.539524418378,252.92454900691774,"(56.219,15.236)","(56.219,14.936)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.237) → (56.219,14.939)",18.442661850913,253.0123361131261,"(56.219,15.237)","(56.219,14.939)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.258) → (56.196,15.572)",19.574886488902,670.3191599363666,"(56.219,15.258)","(56.196,15.572)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,15.264) → (56.196,15.585)",20.018968582870002,670.551819753367,"(56.219,15.264)","(56.196,15.585)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,15.275) → (56.219,14.95)",20.105791793161,253.21747626176705,"(56.219,15.275)","(56.219,14.95)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.219,15.283) → (56.19,15.578)",18.534782943562,671.0954971964863,"(56.219,15.283)","(56.19,15.578)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.222,15.259) → (56.2,15.56)",18.833012114924,670.7274346444475,"(56.222,15.259)","(56.2,15.56)",Ronneby Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.227,15.242) → (56.227,15.239)",0.15013885806915,12885.655587837899,"(56.227,15.242)","(56.227,15.239)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.227,15.243) → (56.227,15.241)",0.14300566687653,12881.184681663788,"(56.227,15.243)","(56.227,15.241)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.228,15.24) → (56.227,15.239)",0.11605837092035999,12896.10316262114,"(56.228,15.24)","(56.227,15.239)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.228,15.242) → (56.228,15.24)",0.14987516224032002,12889.030290487115,"(56.228,15.242)","(56.228,15.24)",Ronneby Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.235,15.21) → (56.219,14.925)",17.707616760217,253.0785990514101,"(56.235,15.21)","(56.219,14.925)",Ronneby Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.043,14.678) → (56.121,14.502)",13.968959387313001,69.14715821076778,"(56.043,14.678)","(56.121,14.502)",Sölvesborgs kommun,Bromölla Kommun,Blekinge,Skåne
"(56.047,14.678) → (56.023,14.15)",32.873377181057,163.14456645545837,"(56.047,14.678)","(56.023,14.15)",Sölvesborgs kommun,Kristianstads kommun,Blekinge,Skåne
"(56.047,14.678) → (56.023,14.194)",30.153648411318997,163.18729337741198,"(56.047,14.678)","(56.023,14.194)",Sölvesborgs kommun,Kristianstads kommun,Blekinge,Skåne
"(56.051,14.678)",0.014643781225987,4442.073773269036,"(56.051,14.678)","(56.051,14.678)",Sölvesborgs kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.052,14.678) → (56.051,14.678)",0.058811951556677,4443.6155643037555,"(56.052,14.678)","(56.051,14.678)",Sölvesborgs kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.054,14.678) → (56.053,14.678)",0.1033200411977635,8891.99773801394,"(56.054,14.678)","(56.053,14.678)",Sölvesborgs kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.059,14.678) → (56.121,14.502)",12.927016368567,69.10506803467698,"(56.059,14.678)","(56.121,14.502)",Sölvesborgs kommun,Bromölla Kommun,Blekinge,Skåne
