,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.766) → (56.023,14.15)",43.922002486816,101.77412611969255,"(56.219,14.766)","(56.023,14.15)",Karlshamns kommun,Kristianstads kommun,Blekinge,Skåne
"(56.219,14.782) → (56.317,14.502)",20.395955092518,154.0986924536178,"(56.219,14.782)","(56.317,14.502)",Karlshamns kommun,Olofströms Kommun,Blekinge,Skåne
"(56.219,14.792) → (56.067,14.678)",18.305945648364002,175.90883719432418,"(56.219,14.792)","(56.067,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.795) → (56.317,14.524)",19.945469963193,153.98341283648165,"(56.219,14.795)","(56.317,14.524)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.803) → (56.079,14.678)",17.3929586618,175.98104324169333,"(56.219,14.803)","(56.079,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.81) → (56.093,14.678)",16.163667254744002,176.1127913755632,"(56.219,14.81)","(56.093,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.83) → (56.219,15.557)",44.92088205422,166.48162309721206,"(56.219,14.83)","(56.219,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.023,14.198)",46.088388752713,101.69729650296867,"(56.219,14.854)","(56.023,14.198)",Karlshamns kommun,Kristianstads kommun,Blekinge,Skåne
"(56.219,14.867) → (56.208,15.557)",42.660605595138996,166.41444946598378,"(56.219,14.867)","(56.208,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.875) → (56.074,14.678)",20.212050402916,176.04173166649525,"(56.219,14.875)","(56.074,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.883) → (56.197,15.605)",44.757420411116,166.3570799394132,"(56.219,14.883)","(56.197,15.605)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.901) → (56.219,15.221)",19.759992559166,262.68727147109837,"(56.219,14.901)","(56.219,15.221)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.944) → (56.219,15.221)",17.125330702172,262.7933058807232,"(56.219,14.944)","(56.219,15.221)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.979) → (56.219,15.255)",17.078283153393,262.48896800090563,"(56.219,14.979)","(56.219,15.255)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.982) → (56.219,15.205)",13.794001139831,262.59671296221427,"(56.219,14.982)","(56.219,15.205)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.222,14.836) → (56.221,14.837)",0.069023603268447,12765.499894524395,"(56.222,14.836)","(56.221,14.837)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.836) → (56.222,14.839)",0.20544396915826,12769.902175964127,"(56.222,14.836)","(56.222,14.839)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.222,14.838)",0.027061345727386,12775.056780641438,"(56.222,14.837)","(56.222,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.84)",0.031697529056723,12760.262135541407,"(56.223,14.84)","(56.223,14.84)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.229,14.822) → (56.317,14.546)",19.615421039556,154.03651520818332,"(56.229,14.822)","(56.317,14.546)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.179,15.557) → (56.219,14.782)",48.12900078191301,103.11389252442969,"(56.179,15.557)","(56.219,14.782)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
