,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(55.665,12.35) → (55.649,12.293)",3.9701205729384,738.5617625932906,"(55.665,12.35)","(55.649,12.293)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.352) → (55.648,12.287)",4.5230382331919,737.7975567529232,"(55.665,12.352)","(55.648,12.287)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.647,12.293)",4.3432297336199,738.2966844165439,"(55.665,12.354)","(55.647,12.293)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.355) → (55.645,12.298)",4.1963536801629004,738.9292822797878,"(55.665,12.355)","(55.645,12.298)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.355) → (55.616,12.365)",5.5512383968128,324.57393622391527,"(55.665,12.355)","(55.616,12.365)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.355) → (55.64,12.371)",2.9336199523580997,206.92744442124587,"(55.665,12.355)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.648,12.297)",4.2403182692679,737.6489059855028,"(55.665,12.357)","(55.648,12.297)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.649,12.29)",4.555948276363099,737.7929427485662,"(55.665,12.357)","(55.649,12.29)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.64,12.371)",2.8884804306882996,207.00173968877695,"(55.665,12.357)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.671,12.415)",3.5643276337779,554.8361738917438,"(55.665,12.359)","(55.671,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.649,12.281)",5.28962496581,738.5973824307994,"(55.665,12.36)","(55.649,12.281)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.67,12.458)",6.1978715677246,337.3524376500537,"(55.665,12.36)","(55.67,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.64,12.371)",2.8322869447113996,206.7875505086048,"(55.665,12.36)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.67,12.458)",6.1586936758013,337.21509461240066,"(55.665,12.361)","(55.67,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.64,12.371)",2.8242504433908,207.01172310344202,"(55.665,12.361)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.362) → (55.671,12.415)",3.3780595686288,554.5602162032667,"(55.665,12.362)","(55.671,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.362) → (55.616,12.362)",5.515739644777,324.22245573571365,"(55.665,12.362)","(55.616,12.362)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.363) → (55.616,12.361)",5.5171639802843,324.7197884066888,"(55.665,12.363)","(55.616,12.361)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.363) → (55.669,12.458)",5.9889174298048,337.5040320447474,"(55.665,12.363)","(55.669,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.363) → (55.674,12.458)",6.067081275973999,336.91922349510855,"(55.665,12.363)","(55.674,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.364) → (55.669,12.458)",5.9510927404713,336.9850119128399,"(55.665,12.364)","(55.669,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.365) → (55.673,12.415)",3.2504569834216,554.3611782643254,"(55.665,12.365)","(55.673,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.365) → (55.616,12.357)",5.5432497364305995,324.22042812826265,"(55.665,12.365)","(55.616,12.357)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.366) → (55.67,12.415)",3.0812200621806003,553.87478407908,"(55.665,12.366)","(55.67,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
