,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(49.122,8.38) → (50.93,6.845)",228.91772599293998,51.082939678879754,"(49.122,8.38)","(50.93,6.845)",Karlsruhe Region,Regierungsbezirk Köln,Baden-Württemberg,North Rhine-Westphalia
"(49.374,8.502) → (49.402,8.358)",10.856304779842999,4902.970532217995,"(49.374,8.502)","(49.402,8.358)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.38,8.5) → (49.392,8.361)",10.142023108637,4904.048898695015,"(49.38,8.5)","(49.392,8.361)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.384,8.504) → (49.403,8.36)",10.650864748761,4902.902748472156,"(49.384,8.504)","(49.403,8.36)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.394,8.492) → (49.41,8.371)",8.961605797135698,4903.443796038489,"(49.394,8.492)","(49.41,8.371)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.46,8.589) → (49.608,8.63)",16.70506606641,3106.637311390507,"(49.46,8.589)","(49.608,8.63)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.463,8.565) → (49.593,8.597)",14.598227271791,3106.344225219722,"(49.463,8.565)","(49.593,8.597)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.467,8.58) → (49.609,8.617)",16.107656786733,3105.9541833055173,"(49.467,8.58)","(49.609,8.617)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.467,8.585) → (49.618,8.626)",17.020310583492,3106.8476427646538,"(49.467,8.585)","(49.618,8.626)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.468,8.576) → (49.609,8.617)",15.970776702876,3106.4969973901766,"(49.468,8.576)","(49.609,8.617)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.47,8.591) → (49.617,8.619)",16.543694595804,3105.911243376027,"(49.47,8.591)","(49.617,8.619)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.487,8.551) → (49.579,8.577)",10.418982337349,3106.253988440672,"(49.487,8.551)","(49.579,8.577)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(48.653,8.943)",0.0051971358774122,606831.0427130613,"(48.653,8.943)","(48.653,8.943)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.654,8.944)",0.0059438945121149,606813.4147636932,"(48.654,8.944)","(48.654,8.944)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.656,8.941) → (48.656,8.942)",0.052824848649160004,606860.8870859875,"(48.656,8.941)","(48.656,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.656,8.943)",0.06572556284862001,606754.8471840607,"(48.656,8.943)","(48.656,8.943)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.656,8.943) → (48.657,8.943)",0.059831260537369,606888.2977285159,"(48.656,8.943)","(48.657,8.943)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.94) → (48.657,8.941)",0.064681304457341,606929.3864160002,"(48.657,8.94)","(48.657,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.943) → (48.657,8.944)",0.036513021245597,606746.4587762419,"(48.657,8.943)","(48.657,8.944)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(49.026,9.079) → (51.194,8.077)",251.49624201626,51.068249375104195,"(49.026,9.079)","(51.194,8.077)",Regierungsbezirk Stuttgart,Regierungsbezirk Arnsberg,Baden-Württemberg,North Rhine-Westphalia
"(48.422,9.96) → (48.43,10.069)",8.0702745985525,3001.683031647629,"(48.422,9.96)","(48.43,10.069)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.427,10.031) → (48.456,9.96)",6.1367699548722,3402.645878442828,"(48.427,10.031)","(48.456,9.96)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.43,9.948) → (48.409,10.022)",5.942160990793999,3001.9662429474306,"(48.43,9.948)","(48.409,10.022)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.433,9.929) → (48.41,10.033)",8.112683373723499,3001.8306565077582,"(48.433,9.929)","(48.41,10.033)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.442,9.957) → (48.423,10.07)",8.6282307759292,3001.2646381409854,"(48.442,9.957)","(48.423,10.07)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.445,9.94) → (48.432,10.067)",9.485232768466,3002.1694876849824,"(48.445,9.94)","(48.432,10.067)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.448,10.026) → (48.48,9.91)",9.2477803973306,3403.0657772212994,"(48.448,10.026)","(48.48,9.91)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.451,10.008) → (48.471,9.934)",5.9475883884602,3402.912074769185,"(48.451,10.008)","(48.471,9.934)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.453,10.013) → (48.471,9.937)",5.9998780938877,3402.270429401664,"(48.453,10.013)","(48.471,9.937)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.463,9.943) → (48.433,10.036)",7.6027955999344,3001.595835191323,"(48.463,9.943)","(48.433,10.036)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.49,9.92) → (48.446,10.129)",16.230035404625,3001.306131307353,"(48.49,9.92)","(48.446,10.129)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(49.961,9.162) → (50.058,8.923)",20.195960120373,1228.3037677620841,"(49.961,9.162)","(50.058,8.923)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.985,9.158) → (50.036,8.899)",19.343064774383,1228.5028280150261,"(49.985,9.158)","(50.036,8.899)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.985,9.18) → (50.05,8.903)",21.067486597632,1228.3641765960617,"(49.985,9.18)","(50.05,8.903)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
