,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.768) → (56.068,14.678)",17.712848849329998,193.63395588481933,"(56.219,14.768)","(56.068,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.782) → (56.317,14.535)",18.729426842162002,250.68681788659643,"(56.219,14.782)","(56.317,14.535)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.793) → (56.317,14.502)",20.994791488124,500.98605191433376,"(56.219,14.793)","(56.317,14.502)",Karlshamns kommun,Olofströms Kommun,Blekinge,Skåne
"(56.219,14.795) → (56.088,14.678)",16.231379467913,193.5066349163146,"(56.219,14.795)","(56.088,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.799) → (56.317,14.524)",20.135558376699,250.65585481708757,"(56.219,14.799)","(56.317,14.524)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.806) → (56.073,14.678)",18.006209441556,193.61003958285383,"(56.219,14.806)","(56.073,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.813) → (56.023,14.15)",46.491720667071,88.17260491183737,"(56.219,14.813)","(56.023,14.15)",Karlshamns kommun,Kristianstads kommun,Blekinge,Skåne
"(56.219,14.828) → (56.023,14.15)",47.339969399592,88.11462839939325,"(56.219,14.828)","(56.023,14.15)",Karlshamns kommun,Kristianstads kommun,Blekinge,Skåne
"(56.219,14.854) → (56.2,15.557)",43.531776942565,203.87306178683144,"(56.219,14.854)","(56.2,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.023,14.191)",46.491720667071,88.0942588256483,"(56.219,14.854)","(56.023,14.191)",Karlshamns kommun,Kristianstads kommun,Blekinge,Skåne
"(56.219,14.862) → (56.179,15.557)",43.230095365642995,203.98200598907815,"(56.219,14.862)","(56.179,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.885) → (56.194,15.557)",41.633371848685,203.8259321848333,"(56.219,14.885)","(56.194,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.889) → (56.19,15.557)",41.442850694907996,204.00720352150606,"(56.219,14.889)","(56.19,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.931) → (56.219,15.205)",16.954077622122,304.01155986890393,"(56.219,14.931)","(56.219,15.205)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.933) → (56.219,15.221)",17.783996329637002,304.08185486849436,"(56.219,14.933)","(56.219,15.221)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.946) → (56.219,15.22)",16.905775470099,304.2443479159132,"(56.219,14.946)","(56.219,15.22)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.95) → (56.219,15.205)",15.776128214816,304.28193067614467,"(56.219,14.95)","(56.219,15.205)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.222,14.835) → (56.222,14.837)",0.10067358828864001,12605.575074548493,"(56.222,14.835)","(56.222,14.837)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.221,14.837)",0.032583785840002995,12613.869126211088,"(56.222,14.837)","(56.221,14.837)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.837) → (56.221,14.839)",0.08498427233511399,12602.661027292745,"(56.222,14.837)","(56.221,14.839)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.222,14.839) → (56.222,14.838)",0.032939689528869,12612.311149968764,"(56.222,14.839)","(56.222,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.232,14.814) → (56.072,14.678)",19.703042583172,193.46190173475705,"(56.232,14.814)","(56.072,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.176,15.59) → (56.219,14.854)",45.783166548066,114.00433495083897,"(56.176,15.59)","(56.219,14.854)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.188,15.599) → (56.219,14.889)",44.062292202919,114.10572400355424,"(56.188,15.599)","(56.219,14.889)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.191,15.568) → (56.219,15.261)",19.285323024349,632.7681058378917,"(56.191,15.568)","(56.219,15.261)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.197,15.604) → (56.196,15.603)",0.11269590027973,30032.028729222497,"(56.197,15.604)","(56.196,15.603)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.198,15.606) → (56.197,15.604)",0.19278281024611998,30009.05016819584,"(56.198,15.606)","(56.197,15.604)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.199,15.607) → (56.197,15.603)",0.31302430174681,30035.738532026484,"(56.199,15.607)","(56.197,15.603)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.199,15.607) → (56.198,15.604)",0.21521333958046002,30015.989003581548,"(56.199,15.607)","(56.198,15.604)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.204,15.592) → (56.219,14.854)",45.683315282055,114.09163046846744,"(56.204,15.592)","(56.219,14.854)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.206,15.577) → (56.219,15.265)",19.329901395562,632.352039101528,"(56.206,15.577)","(56.219,15.265)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.208,15.581) → (56.219,15.244)",20.862264772679,632.689950779683,"(56.208,15.581)","(56.219,15.244)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.214,15.567) → (56.219,15.25)",19.620087957714,632.2058574546525,"(56.214,15.567)","(56.219,15.25)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.317,14.517) → (56.219,14.808)",21.008094303178,207.46495273373498,"(56.317,14.517)","(56.219,14.808)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.317,14.552) → (56.219,14.803)",18.927394811247,207.2806090015254,"(56.317,14.552)","(56.219,14.803)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.319,14.509) → (56.319,14.508)",0.087215276770107,5538.630060923783,"(56.319,14.509)","(56.319,14.508)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.319,14.51) → (56.319,14.509)",0.07948168268178149,11074.986186846723,"(56.319,14.51)","(56.319,14.509)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.319,14.511) → (56.318,14.511)",0.042907938855467,5534.392260340728,"(56.319,14.511)","(56.318,14.511)",Olofströms Kommun,Olofströms Kommun,Blekinge,Blekinge
