,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(49.396,8.491) → (49.406,8.365)",9.1243150480766,2371.01537648867,"(49.396,8.491)","(49.406,8.365)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.397,8.491) → (49.411,8.368)",9.0179906446079,2370.9277576027957,"(49.397,8.491)","(49.411,8.368)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.398,8.491) → (49.408,8.367)",9.0878034228554,2370.59454457637,"(49.398,8.491)","(49.408,8.367)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.4,8.499) → (49.412,8.38)",8.69371697113,2370.2805145813527,"(49.4,8.499)","(49.412,8.38)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.479,8.564) → (49.58,8.599)",11.452851922899,1491.6488849043596,"(49.479,8.564)","(49.58,8.599)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.482,8.598) → (49.603,8.599)",13.475318130411,1491.2416775029103,"(49.482,8.598)","(49.603,8.599)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.486,8.566) → (49.588,8.597)",11.573655689881999,1491.9519123316104,"(49.486,8.566)","(49.588,8.597)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.487,8.569) → (49.576,8.603)",10.264733309236,1491.4392467837085,"(49.487,8.569)","(49.576,8.603)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.491,8.569) → (49.604,8.583)",12.587214488777,1491.509339460946,"(49.491,8.569)","(49.604,8.583)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.495,8.559) → (49.559,8.593)",7.5690342121189,1491.3185296430017,"(49.495,8.559)","(49.559,8.593)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.496,8.573) → (49.573,8.596)",8.7464982641051,1491.7040095757006,"(49.496,8.573)","(49.573,8.596)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.593,8.618) → (49.481,8.573)",12.888651974692,2092.693478892298,"(49.593,8.618)","(49.481,8.573)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.603,8.62) → (49.47,8.582)",15.039173117439999,2092.4203785472782,"(49.603,8.62)","(49.47,8.582)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(48.653,8.944)",0.0033742791429064,553437.2786676954,"(48.653,8.944)","(48.653,8.944)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.654,8.945)",0.0088610110632499,553465.8004290662,"(48.654,8.945)","(48.654,8.945)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.656,8.941)",0.03874217831485399,553536.6147497622,"(48.656,8.941)","(48.656,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.939)",0.0041844786679646,553608.8617236586,"(48.657,8.939)","(48.657,8.939)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.94)",0.020964947769292,553588.4035722036,"(48.657,8.94)","(48.657,8.94)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.941)",0.0063683337438287,553510.601595,"(48.657,8.941)","(48.657,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.659,8.939)",0.026066222785213998,553700.8646690395,"(48.659,8.939)","(48.659,8.939)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.399,9.949) → (48.377,10.054)",8.1163119530476,2489.6732160353185,"(48.399,9.949)","(48.377,10.054)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.416,9.981) → (48.378,10.079)",8.3521864137571,2489.343411822525,"(48.416,9.981)","(48.378,10.079)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.418,9.938) → (48.395,10.016)",6.2836320793042,2490.5290133372523,"(48.418,9.938)","(48.395,10.016)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.425,9.938) → (48.404,10.015)",6.143098044865,2490.023166873189,"(48.425,9.938)","(48.404,10.015)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.426,9.95) → (48.404,10.025)",6.0253686298799005,2490.1151869927326,"(48.426,9.95)","(48.404,10.025)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.431,10.015) → (48.45,9.95)",5.2103703973565,2105.363671499113,"(48.431,10.015)","(48.45,9.95)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.432,9.929) → (48.422,10.008)",5.973796690846901,2489.7902223844103,"(48.432,9.929)","(48.422,10.008)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.435,10.027) → (48.453,9.939)",6.7811456113137005,2104.9899901519784,"(48.435,10.027)","(48.453,9.939)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.438,9.984) → (48.403,10.079)",8.0655120357242,2489.4717018049655,"(48.438,9.984)","(48.403,10.079)",Tübingen Region,Swabia,Baden-Württemberg,Bavaria
"(48.44,10.017) → (48.462,9.933)",6.6410470260731,2105.2858695493296,"(48.44,10.017)","(48.462,9.933)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(48.46,10.025) → (48.488,9.935)",7.3756050341667,2104.7111444937736,"(48.46,10.025)","(48.488,9.935)",Tübingen Region,Tübingen Region,Baden-Württemberg,Baden-Württemberg
"(49.97,9.265) → (50.086,8.949)",26.006521538814997,996.8864803191186,"(49.97,9.265)","(50.086,8.949)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.99,9.113) → (50.051,8.914)",15.796305329198,997.014029011125,"(49.99,9.113)","(50.051,8.914)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.998,9.13) → (50.046,8.936)",14.856513255363,997.1441581563503,"(49.998,9.13)","(50.046,8.936)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.998,9.149) → (50.06,8.949)",15.891797267461,997.1073095297828,"(49.998,9.149)","(50.06,8.949)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(49.999,9.15) → (50.055,8.942)",16.132540281942,997.3098711820306,"(49.999,9.15)","(50.055,8.942)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(50.001,9.101) → (50.038,8.941)",12.118979277112,996.9671748743873,"(50.001,9.101)","(50.038,8.941)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(50.026,9.061) → (50.042,8.931)",9.461513708972,996.8351077532195,"(50.026,9.061)","(50.042,8.931)",Regierungsbezirk Unterfranken,Regierungsbezirk Darmstadt,Bavaria,Hesse
"(48.387,10.006) → (48.375,9.916)",6.757067670401599,2104.819612194327,"(48.387,10.006)","(48.375,9.916)",Swabia,Tübingen Region,Bavaria,Baden-Württemberg
"(48.412,10.024) → (48.433,9.925)",7.6914977481075,2105.713556900645,"(48.412,10.024)","(48.433,9.925)",Swabia,Tübingen Region,Bavaria,Baden-Württemberg
"(48.415,10.027) → (48.436,9.965)",5.139698962082901,2105.0889176706723,"(48.415,10.027)","(48.436,9.965)",Swabia,Tübingen Region,Bavaria,Baden-Württemberg
"(48.823,11.36)",0.019937922875732,672240.0768292804,"(48.823,11.36)","(48.823,11.36)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(48.824,11.363)",0.00071963047283952,672128.3774063287,"(48.824,11.363)","(48.824,11.363)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(48.825,11.362)",0.016170872025821,672103.5394655137,"(48.825,11.362)","(48.825,11.362)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(48.826,11.362)",0.026171505635849,672009.0812291803,"(48.826,11.362)","(48.826,11.362)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(48.826,11.362) → (48.826,11.363)",0.049430470793843,672040.6634178165,"(48.826,11.362)","(48.826,11.363)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(48.831,11.36)",0.01686500556525,671920.0609414586,"(48.831,11.36)","(48.831,11.36)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(48.833,11.361)",0.0067354182139068,671954.6887924854,"(48.833,11.361)","(48.833,11.361)",Upper Bavaria,Upper Bavaria,Bavaria,Bavaria
"(50.221,11.906) → (50.55,12.29)",45.670541138976,31.253141763477306,"(50.221,11.906)","(50.55,12.29)",Upper Franconia,Upper Franconia,Bavaria,Saxony
"(50.251,11.187) → (50.403,11.21)",16.889468346293,236.93260174744282,"(50.251,11.187)","(50.403,11.21)",Upper Franconia,Upper Franconia,Bavaria,Thuringia
"(50.309,11.09) → (50.382,11.141)",8.9654422364182,236.85916791594923,"(50.309,11.09)","(50.382,11.141)",Upper Franconia,Upper Franconia,Bavaria,Thuringia
"(50.311,11.133) → (50.388,11.166)",8.854550847497,236.89054854067396,"(50.311,11.133)","(50.388,11.166)",Upper Franconia,Upper Franconia,Bavaria,Thuringia
"(50.317,11.016) → (50.382,11.04)",7.4044478840836,236.87137461203963,"(50.317,11.016)","(50.382,11.04)",Upper Franconia,Upper Franconia,Bavaria,Thuringia
"(50.317,11.909) → (50.485,12.151)",25.351613250607,31.258335649076773,"(50.317,11.909)","(50.485,12.151)",Upper Franconia,Upper Franconia,Bavaria,Saxony
"(50.317,11.936) → (50.452,12.12)",19.870389024909,31.249063171039072,"(50.317,11.936)","(50.452,12.12)",Upper Franconia,Upper Franconia,Bavaria,Saxony
"(50.33,11.909) → (50.451,12.139)",21.108943468195,31.24759463816377,"(50.33,11.909)","(50.451,12.139)",Upper Franconia,Upper Franconia,Bavaria,Saxony
"(50.342,11.909) → (50.461,12.158)",22.00950063078,31.25198682981954,"(50.342,11.909)","(50.461,12.158)",Upper Franconia,Upper Franconia,Bavaria,Saxony
"(50.369,11.338) → (50.329,11.288)",5.7035033531164006,357.188691723517,"(50.369,11.338)","(50.329,11.288)",Upper Franconia,Upper Franconia,Bavaria,Bavaria
"(52.49,13.283) → (52.505,13.341)",4.2517191502571,7176.7061251966215,"(52.49,13.283)","(52.505,13.341)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.49,13.314) → (52.503,13.365)",3.6769532710188995,7177.6569413447,"(52.49,13.314)","(52.503,13.365)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.49,13.319) → (52.504,13.362)",3.3168796429290004,7178.931131021449,"(52.49,13.319)","(52.504,13.362)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.492,13.285) → (52.496,13.348)",4.2782309918796,7180.124180581176,"(52.492,13.285)","(52.496,13.348)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.493,13.322) → (52.501,13.366)",3.1085034548671002,7177.994267315164,"(52.493,13.322)","(52.501,13.366)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.494,13.308) → (52.503,13.362)",3.8260414307281,7178.6658396388175,"(52.494,13.308)","(52.503,13.362)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.502,13.382) → (52.485,13.34)",3.4518740478846,4733.810785774973,"(52.502,13.382)","(52.485,13.34)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.502,13.383) → (52.49,13.366)",1.7314777388571,4734.428637413252,"(52.502,13.383)","(52.49,13.366)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.503,13.377) → (52.488,13.333)",3.381171711831,4733.588322889404,"(52.503,13.377)","(52.488,13.333)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.504,13.384) → (52.486,13.353)",2.8674920842188,4734.253680571312,"(52.504,13.384)","(52.486,13.353)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.506,13.265) → (52.509,13.335)",4.7305937789253,7177.075981560516,"(52.506,13.265)","(52.509,13.335)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.507,13.4) → (52.492,13.368)",2.7445039899255,4735.215440893928,"(52.507,13.4)","(52.492,13.368)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.509,13.402) → (52.497,13.391)",1.5691905860464999,4733.2051860979755,"(52.509,13.402)","(52.497,13.391)",Upper Franconia,Upper Franconia,Berlin,Berlin
"(52.51,13.403) → (53.566,9.976)",257.51636112785997,67.58559059259844,"(52.51,13.403)","(53.566,9.976)",Upper Franconia,Regierungsbezirk Detmold,Berlin,Hamburg
"(52.51,13.406) → (52.51,13.405)",0.03857668414638149,411542.00759895623,"(52.51,13.406)","(52.51,13.405)",Upper Franconia,Upper Franconia,Berlin,Berlin
